SampleIdentifier	SampleName	TechnicalFlags	ControlFlags	CountFlags	SampleType
39PNVV-36_0_0_LB.RCC	39pnvvPRE	FALSE	FALSE	FALSE	NA
40PNVV-106_0_0_LB.RCC	40PNVVPRE	FALSE	FALSE	FALSE	NA
40V-11_0_0_BL.RCC	40VPre	FALSE	FALSE	FALSE	NA
44PNVV-167_0_0_HE.RCC	18MFPre	FALSE	FALSE	TRUE	NA
45PNHVV-14_0_1_HE.RCC	45PNHVVpre	FALSE	FALSE	FALSE	NA
46PNHVV-15_0_1_HE.RCC	46PNHVVpre	FALSE	FALSE	FALSE	NA
47PNVV-56_0_0_LB.RCC	47PNVVPRE	FALSE	FALSE	FALSE	NA
48PNVV-96_0_0_HE.RCC	48PNVVPRE	FALSE	FALSE	FALSE	NA
48V-58_0_0_BL.RCC	48VPRE	FALSE	FALSE	FALSE	NA
49PNVV-16_0_1_BL.RCC	49PNHVVpre	FALSE	FALSE	FALSE	NA
49V-129_0_0_BL.RCC	49VPRE	FALSE	FALSE	FALSE	NA
50PNVV-77_0_1_HE.RCC	50PNVVPRE	FALSE	FALSE	FALSE	NA
52PNVV-136_0_0_HE.RCC	15MFPRE	FALSE	FALSE	FALSE	NA
52V-60_0_0_BL.RCC	52VPRE	FALSE	FALSE	FALSE	NA
53PNHVV-17_0_1_HE.RCC	53PNHVVpre	FALSE	FALSE	FALSE	NA
54PNVV-78_0_1_BL.RCC	54PNVVPRE	FALSE	FALSE	FALSE	NA
54V-108_0_0_BL.RCC	54VPRE	FALSE	FALSE	FALSE	NA
55PNVV-118_0_0_LA.RCC	55PNVVpre	FALSE	FALSE	FALSE	NA
55V-72_0_0_BL.RCC	55VPRE	FALSE	FALSE	FALSE	NA
56PNVV-79_0_1_HE.RCC	56PNVVPRE	FALSE	FALSE	FALSE	NA
57PNVV-18_0_1_HE.RCC	57PNHVVpre	FALSE	FALSE	FALSE	NA
58PNVV-80_0_1_LB.RCC	58PNVVPRE	FALSE	FALSE	FALSE	NA
59PNVV-81_0_1_HE.RCC	59PNVVPRE	FALSE	FALSE	TRUE	NA
60PNVV-19_0_1_HE.RCC	60PNHVVpre	FALSE	FALSE	FALSE	NA
61PNVV-82_0_1_HE.RCC	61PNVVPRE	FALSE	FALSE	FALSE	NA
62PNVV-20_0_1_BL.RCC	62PNHVVpre	FALSE	FALSE	FALSE	NA
63PNVV-83_0_1_HE.RCC	63PNVVPRE	FALSE	FALSE	FALSE	NA
64PNVV-21_0_1_HE.RCC	64PNHVVpre	FALSE	FALSE	FALSE	NA
67PNVV-133_0_0_HE.RCC	15MFPRE	FALSE	FALSE	FALSE	NA
69PNVV-22_0_1_HE.RCC	69PNHVVpre	FALSE	FALSE	FALSE	NA
70PNVV-170_0_0_HE.RCC	70PNVVPRE	FALSE	FALSE	FALSE	NA
71PNHVV-23_0_1_HE.RCC	71PNHVVpre	FALSE	FALSE	TRUE	NA
72PNJ-171_0_1_LB.RCC	102PNJ	FALSE	FALSE	FALSE	NA
72PNVV-84_0_1_HE.RCC	72PNVVPRE	FALSE	FALSE	FALSE	NA
73PNVV-24_0_1_HE.RCC	73PNHVVpre	FALSE	FALSE	FALSE	NA
74PNVV-120_0_0_LB.RCC	74PNVVpre	FALSE	FALSE	FALSE	NA
75PNVV-132_0_0_HE.RCC	75PNVVPRE	FALSE	FALSE	FALSE	NA
86PNJ-182_0_1_BL.RCC	33Vpre	FALSE	FALSE	FALSE	NA
