from	to
6009	207
6009	64223
6009	107080638
10325	55004
10325	201163
10325	64798
10325	51422
10325	7248
10325	57521
10325	84232
10325	5571
10325	8408
10325	60673
10325	1978
10325	389541
10325	5562
10325	2475
10325	28956
10325	58528
10325	5563
10325	7529
10325	64121
10325	10670
10325	84335
10325	153129
10325	53632
10325	8649
10325	1977
10325	9776
10325	207
10325	64223
5595	10000
5595	7531
5595	7157
5595	7248
5595	3667
5595	7532
5595	57521
5595	6199
5595	5566
5595	1978
5595	2810
5595	10533
5595	2475
5595	28956
5595	5567
5595	5728
5595	7529
5595	4303
5595	2308
5595	10971
5595	11200
5595	208
5595	572
5595	5599
5595	7534
5595	2309
5595	8649
5595	1977
5595	207
5595	107080638
10000	79109
10000	7157
10000	253260
10000	7248
10000	57521
10000	6199
10000	5170
10000	2475
10000	200186
10000	5728
10000	4303
10000	9882
10000	2308
10000	84335
10000	208
10000	572
10000	55615
10000	2309
10000	207
10000	64223
10000	107080638
7531	7157
7531	64798
7531	7248
7531	7532
7531	57521
7531	54541
7531	5566
7531	2810
7531	1456
7531	2475
7531	200186
7531	7529
7531	4303
7531	9882
7531	2308
7531	10971
7531	84335
7531	572
7531	7534
7531	2309
7531	207
7531	64223
79109	64798
79109	253260
79109	7248
79109	57521
79109	1978
79109	2475
79109	6446
79109	1979
79109	84335
79109	208
79109	55615
79109	207
79109	64223
23710	81631
23710	83734
23710	64422
23710	26100
23710	11337
23710	5566
23710	84971
23710	84938
23710	8408
23710	60673
23710	10533
23710	7405
23710	30849
23710	440738
23710	2475
23710	8678
23710	9474
23710	5567
23710	115201
23710	84557
23710	8878
23710	55054
23710	9706
23710	23192
23710	79065
23710	9140
23710	9776
81631	7157
81631	83734
81631	64422
81631	26100
81631	11337
81631	84971
81631	84938
81631	8408
81631	10533
81631	7405
81631	30849
81631	440738
81631	2475
81631	8678
81631	9474
81631	115201
81631	84557
81631	8878
81631	55054
81631	23192
81631	79065
81631	9140
81631	9776
7157	472
7157	51422
7157	7532
7157	54541
7157	84232
7157	5571
7157	6794
7157	2810
7157	5562
7157	10533
7157	1456
7157	2475
7157	8678
7157	5563
7157	5728
7157	7529
7157	4303
7157	10971
7157	11200
7157	208
7157	5599
7157	26471
7157	7534
7157	2309
7157	53632
7157	207
472	6794
472	1978
472	5728
472	11200
472	8878
472	5599
472	2309
472	207
55004	51422
55004	7248
55004	57521
55004	84232
55004	5571
55004	8408
55004	60673
55004	1978
55004	389541
55004	5562
55004	2475
55004	28956
55004	58528
55004	5563
55004	7529
55004	64121
55004	10670
55004	84335
55004	153129
55004	53632
55004	8649
55004	1977
55004	9776
55004	207
55004	64223
83734	64422
83734	26100
83734	11337
83734	8408
83734	89849
83734	60673
83734	10533
83734	7405
83734	30849
83734	55102
83734	8678
83734	9474
83734	115201
83734	84557
83734	23130
83734	55054
83734	23192
83734	79065
83734	9140
83734	9776
64422	26100
64422	11337
64422	84971
64422	84938
64422	8408
64422	89849
64422	60673
64422	10533
64422	7405
64422	30849
64422	440738
64422	55102
64422	8678
64422	9474
64422	115201
64422	84557
64422	23130
64422	8878
64422	55054
64422	9706
64422	23192
64422	79065
64422	9140
64422	55626
64422	9776
201163	5571
201163	6794
201163	5562
201163	2475
201163	58528
201163	64121
201163	10670
201163	153129
64798	253260
64798	7248
64798	7532
64798	57521
64798	6199
64798	8408
64798	1978
64798	2810
64798	2475
64798	58528
64798	7529
64798	64121
64798	10670
64798	10971
64798	84335
64798	208
64798	7534
64798	55615
64798	9776
64798	207
64798	64223
51422	7248
51422	57521
51422	5566
51422	5571
51422	8408
51422	6794
51422	60673
51422	389541
51422	5562
51422	30849
51422	2475
51422	8678
51422	28956
51422	200186
51422	58528
51422	5563
51422	64121
51422	10670
51422	153129
51422	53632
51422	8649
51422	55626
51422	9776
51422	64223
26100	11337
26100	84971
26100	8408
26100	89849
26100	60673
26100	10533
26100	30849
26100	440738
26100	55102
26100	8678
26100	9474
26100	115201
26100	84557
26100	23130
26100	55054
26100	9706
26100	23192
26100	79065
26100	9140
26100	9776
253260	7248
253260	3667
253260	57521
253260	6199
253260	1978
253260	5170
253260	2475
253260	6446
253260	5728
253260	1979
253260	2308
253260	84335
253260	208
253260	55615
253260	2309
253260	1977
253260	207
253260	64223
7248	7532
7248	57521
7248	54541
7248	6199
7248	5571
7248	6794
7248	1978
7248	2810
7248	389541
7248	5562
7248	2475
7248	28956
7248	58528
7248	5563
7248	5728
7248	7529
7248	64121
7248	10670
7248	10971
7248	208
7248	7534
7248	153129
7248	55615
7248	53632
7248	8649
7248	207
7248	64223
7248	107080638
3667	57521
3667	6199
3667	5170
3667	2475
3667	5728
3667	9882
3667	2308
3667	208
3667	5599
3667	7534
3667	2309
3667	1977
3667	207
3667	64223
7532	57521
7532	54541
7532	5566
7532	2810
7532	1456
7532	2475
7532	200186
7532	7529
7532	4303
7532	9882
7532	2308
7532	10971
7532	84335
7532	572
7532	7534
7532	2309
7532	207
7532	64223
11337	5566
11337	84971
11337	84938
11337	8408
11337	60673
11337	10533
11337	7405
11337	30849
11337	440738
11337	8678
11337	9474
11337	5567
11337	115201
11337	84557
11337	8878
11337	55054
11337	9706
11337	23192
11337	79065
11337	9140
11337	55626
11337	9776
57521	6199
57521	84232
57521	5571
57521	8408
57521	6794
57521	60673
57521	1978
57521	2810
57521	389541
57521	5562
57521	2475
57521	8678
57521	6446
57521	28956
57521	58528
57521	5563
57521	5728
57521	7529
57521	64121
57521	1979
57521	10670
57521	10971
57521	8878
57521	84335
57521	208
57521	9706
57521	5599
57521	7534
57521	153129
57521	55615
57521	2309
57521	53632
57521	8649
57521	1977
57521	9776
57521	207
57521	64223
54541	2810
54541	2475
54541	7529
54541	10971
54541	7534
54541	107080638
6199	5566
6199	5170
6199	2475
6199	5567
6199	1979
6199	84335
6199	208
6199	207
6199	64223
5566	5571
5566	8408
5566	6794
5566	5562
5566	5567
5566	5563
5566	2308
5566	84335
5566	572
5566	9706
5566	7534
5566	2309
5566	9776
84971	8408
84971	10533
84971	440738
84971	55102
84971	8678
84971	9474
84971	84557
84971	23130
84971	55054
84971	9706
84971	79065
84971	9140
84232	389541
84232	2475
84232	28956
84232	58528
84232	64121
84232	10670
84232	153129
84232	8649
84232	64223
84938	8408
84938	10533
84938	7405
84938	440738
84938	55102
84938	8678
84938	9474
84938	84557
84938	55054
84938	9706
84938	79065
84938	9140
5571	8408
5571	6794
5571	60673
5571	389541
5571	5562
5571	30849
5571	2475
5571	8678
5571	28956
5571	200186
5571	58528
5571	5567
5571	5563
5571	64121
5571	10670
5571	153129
5571	53632
5571	8649
5571	55626
5571	9776
5571	64223
8408	60673
8408	389541
8408	5562
8408	10533
8408	7405
8408	30849
8408	440738
8408	55102
8408	2475
8408	8678
8408	28956
8408	9474
8408	58528
8408	5567
8408	5563
8408	115201
8408	64121
8408	84557
8408	23130
8408	10670
8408	8878
8408	84335
8408	55054
8408	9706
8408	153129
8408	23192
8408	79065
8408	53632
8408	8649
8408	9140
8408	55626
8408	9776
8408	64223
6794	5562
6794	2475
6794	5563
6794	5728
6794	4303
6794	2308
6794	7534
6794	2309
6794	53632
89849	10533
89849	8678
89849	9474
89849	55054
89849	79065
89849	9140
60673	389541
60673	5562
60673	10533
60673	7405
60673	30849
60673	2475
60673	8678
60673	28956
60673	9474
60673	58528
60673	5563
60673	64121
60673	84557
60673	10670
60673	8878
60673	84335
60673	55054
60673	9706
60673	153129
60673	79065
60673	53632
60673	8649
60673	9140
60673	55626
60673	9776
60673	64223
1978	389541
1978	2475
1978	28956
1978	58528
1978	5728
1978	7529
1978	64121
1978	1979
1978	10670
1978	84335
1978	208
1978	5599
1978	153129
1978	8649
1978	1977
1978	207
1978	64223
2810	1456
2810	2475
2810	200186
2810	7529
2810	4303
2810	9882
2810	2308
2810	10971
2810	84335
2810	572
2810	7534
2810	2309
2810	207
2810	64223
389541	5562
389541	2475
389541	28956
389541	58528
389541	5563
389541	7529
389541	64121
389541	10670
389541	84335
389541	153129
389541	53632
389541	8649
389541	1977
389541	9776
389541	207
389541	64223
5170	2475
5170	6446
5170	5728
5170	84335
5170	208
5170	572
5170	2309
5170	207
5562	30849
5562	2475
5562	8678
5562	28956
5562	200186
5562	58528
5562	5567
5562	5563
5562	64121
5562	2308
5562	10670
5562	153129
5562	2309
5562	53632
5562	8649
5562	55626
5562	9776
5562	64223
5562	107080638
10533	7405
10533	30849
10533	440738
10533	55102
10533	2475
10533	8678
10533	9474
10533	115201
10533	7529
10533	84557
10533	23130
10533	2308
10533	8878
10533	55054
10533	9706
10533	23192
10533	79065
10533	9140
10533	55626
10533	9776
7405	30849
7405	440738
7405	8678
7405	9474
7405	84557
7405	55054
7405	9706
7405	23192
7405	79065
7405	9140
7405	55626
7405	9776
30849	440738
30849	2475
30849	8678
30849	9474
30849	5563
30849	84557
30849	55054
30849	9706
30849	23192
30849	79065
30849	53632
30849	9140
30849	55626
30849	9776
440738	8678
440738	9474
440738	115201
440738	84557
440738	8878
440738	55054
440738	23192
440738	9140
55102	8678
55102	9474
55102	115201
55102	23130
55102	55054
55102	9706
55102	79065
55102	9140
1456	7529
1456	2308
1456	10971
1456	7534
2475	8678
2475	6446
2475	28956
2475	9474
2475	58528
2475	5563
2475	5728
2475	7529
2475	64121
2475	1979
2475	84557
2475	2308
2475	10670
2475	10971
2475	8878
2475	84335
2475	208
2475	9706
2475	5599
2475	7534
2475	153129
2475	55615
2475	2309
2475	53632
2475	8649
2475	9140
2475	1977
2475	55626
2475	9776
2475	207
2475	64223
8678	9474
8678	5563
8678	115201
8678	84557
8678	23130
8678	8878
8678	55054
8678	9706
8678	5599
8678	23192
8678	2309
8678	79065
8678	53632
8678	9140
8678	55626
8678	9776
8678	207
6446	5728
6446	4303
6446	2308
6446	84335
6446	55615
6446	2309
6446	64223
28956	58528
28956	5563
28956	7529
28956	64121
28956	10670
28956	84335
28956	153129
28956	53632
28956	8649
28956	1977
28956	9776
28956	207
28956	64223
200186	5563
200186	7529
200186	10971
200186	208
200186	7534
200186	53632
200186	207
9474	115201
9474	84557
9474	23130
9474	8878
9474	55054
9474	9706
9474	5599
9474	23192
9474	79065
9474	9140
9474	55626
9474	9776
9474	207
58528	5563
58528	7529
58528	64121
58528	10670
58528	84335
58528	153129
58528	53632
58528	8649
58528	1977
58528	9776
58528	207
58528	64223
5567	5563
5567	2308
5567	84335
5567	572
5567	9706
5567	2309
5567	9776
5563	64121
5563	10670
5563	153129
5563	2309
5563	53632
5563	8649
5563	55626
5563	9776
5563	64223
5563	107080638
5728	4303
5728	2308
5728	11200
5728	208
5728	5599
5728	2309
5728	1977
5728	207
115201	84557
115201	23130
115201	55054
115201	9706
115201	79065
115201	9140
7529	64121
7529	4303
7529	9882
7529	2308
7529	10670
7529	10971
7529	84335
7529	572
7529	7534
7529	153129
7529	2309
7529	8649
7529	1977
7529	207
7529	64223
64121	10670
64121	84335
64121	153129
64121	53632
64121	8649
64121	1977
64121	9776
64121	207
64121	64223
1979	2309
1979	1977
4303	2308
4303	10971
4303	208
4303	5599
4303	7534
4303	2309
4303	207
84557	8878
84557	55054
84557	9706
84557	23192
84557	79065
84557	9140
84557	9776
23130	55054
23130	9706
23130	79065
23130	9140
9882	10971
9882	208
9882	7534
9882	207
2308	10971
2308	208
2308	5599
2308	7534
2308	2309
2308	207
10670	84335
10670	153129
10670	53632
10670	8649
10670	1977
10670	9776
10670	207
10670	64223
10971	84335
10971	572
10971	7534
10971	2309
10971	207
10971	64223
8878	55054
8878	9706
8878	23192
8878	79065
8878	9140
8878	9776
84335	208
84335	7534
84335	153129
84335	55615
84335	8649
84335	1977
84335	9776
84335	207
84335	64223
55054	9706
55054	23192
55054	79065
55054	9140
55054	9776
208	572
208	55615
208	2309
208	207
208	64223
208	107080638
572	5599
572	7534
572	207
9706	23192
9706	79065
9706	9140
9706	55626
9706	9776
9706	64223
5599	2309
7534	2309
7534	207
7534	64223
153129	53632
153129	8649
153129	1977
153129	9776
153129	207
153129	64223
23192	79065
23192	9140
55615	207
55615	64223
2309	207
79065	9140
79065	9776
53632	8649
53632	55626
53632	9776
53632	64223
8649	1977
8649	9776
8649	207
8649	64223
9140	9776
1977	207
1977	64223
55626	9776
9776	64223
207	64223
207	107080638
