from	to
3364	5111
3364	5810
3364	5883
3364	5884
3364	5982
3364	5983
3364	5984
3364	5985
3364	6117
3364	6118
3667	5888
3978	4361
3978	5111
3978	5422
3978	5424
3978	5425
3978	5426
3978	5427
3978	5557
3978	5558
3978	5810
3978	5883
3978	5981
3978	5982
3978	6117
3978	6118
3978	6119
3978	7150
3978	10714
3978	23649
3978	54107
3978	56655
3978	57804
3980	5591
3980	5965
3980	6117
3980	7150
3980	7515
3980	55775
3980	200558
3981	4361
3981	4683
3981	5591
3981	7515
3981	7518
3981	7520
3981	10111
3981	79840
3981	200558
4292	4361
4292	4436
4292	4683
4292	5111
4292	5981
4292	5982
4292	5984
4292	6117
4292	6118
4292	6119
4292	7156
4292	10111
4292	11073
4292	55120
4292	55655
4292	80010
4361	4436
4361	4683
4361	5591
4361	5932
4361	5981
4361	5982
4361	5984
4361	6613
4361	7014
4361	7518
4361	7520
4361	9656
4361	10111
4361	11073
4361	26277
4361	54386
4361	55655
4361	64421
4436	4683
4436	5111
4436	5888
4436	5981
4436	5982
4436	5984
4436	6613
4436	7157
4436	8243
4436	10111
4436	11200
4436	11277
4436	55655
4616	5111
4683	5591
4683	5932
4683	5981
4683	5982
4683	5984
4683	6613
4683	7013
4683	7014
4683	7518
4683	7520
4683	9656
4683	10111
4683	11073
4683	11200
4683	11277
4683	54386
4683	64421
4999	6117
4999	6118
4999	7013
4999	7014
4999	7520
4999	54386
5111	5422
5111	5424
5111	5425
5111	5426
5111	5427
5111	5429
5111	5557
5111	5558
5111	5591
5111	5883
5111	5884
5111	5932
5111	5981
5111	5982
5111	5983
5111	5984
5111	5985
5111	6117
5111	7150
5111	7153
5111	7155
5111	7157
5111	7486
5111	7515
5111	7520
5111	8554
5111	10714
5111	23649
5111	54107
5111	54921
5111	55120
5111	56655
5111	57804
5111	63922
5111	995
5422	5424
5422	5425
5422	5426
5422	5427
5422	5557
5422	5558
5422	5981
5422	5982
5422	5983
5422	5984
5422	5985
5422	6117
5422	6118
5422	6119
5422	7150
5422	7153
5422	7155
5422	7157
5422	7520
5422	8243
5422	10714
5422	23649
5422	54107
5422	56655
5422	57804
5424	5425
5424	5426
5424	5427
5424	5557
5424	5558
5424	5981
5424	5982
5424	6117
5424	6118
5424	6119
5424	7150
5424	7153
5424	7155
5424	7520
5424	10714
5424	23649
5424	54107
5424	56655
5424	57804
5425	5426
5425	5427
5425	5557
5425	5558
5425	5981
5425	6117
5425	7150
5425	7153
5425	7155
5425	7486
5425	10714
5425	23649
5425	54107
5425	56655
5425	57804
5426	5427
5426	5557
5426	5558
5426	5884
5426	5981
5426	5982
5426	6117
5426	6118
5426	6119
5426	7150
5426	7153
5426	7155
5426	7520
5426	10714
5426	11073
5426	23649
5426	54107
5426	56655
5426	57804
5427	5557
5427	5558
5427	5884
5427	5981
5427	6117
5427	7150
5427	7153
5427	7155
5427	10714
5427	23649
5427	54107
5427	56655
5427	57804
5429	5982
5429	5983
5429	5984
5429	5985
5429	54921
5429	63922
5429	79075
5557	5558
5557	5981
5557	6117
5557	7150
5557	7153
5557	7155
5557	7157
5557	7520
5557	10714
5557	23649
5557	54107
5557	56655
5557	57804
5558	5981
5558	6117
5558	7150
5558	7153
5558	7155
5558	10714
5558	23649
5558	54107
5558	56655
5558	57804
5591	5884
5591	5932
5591	5965
5591	6117
5591	6118
5591	6613
5591	7150
5591	7153
5591	7157
5591	7486
5591	7515
5591	7518
5591	7520
5591	9656
5591	11200
5591	11277
5591	55775
5591	64421
5591	79840
5591	200558
5591	9557
5810	5883
5810	5884
5810	5982
5810	5983
5810	5984
5810	5985
5810	6117
5810	6118
5883	5884
5883	5982
5883	5983
5883	5984
5883	5985
5883	6117
5883	6118
5883	11073
5883	11200
5884	5981
5884	5982
5884	5983
5884	5984
5884	5985
5884	54107
5884	56655
5885	7013
5885	8243
5885	63922
5888	6117
5888	6118
5888	6119
5888	6613
5888	7157
5888	51720
5888	84142
5932	10111
5932	11073
5932	51720
5932	84142
5965	6117
5965	7150
5965	7515
5965	200558
5981	5982
5981	5983
5981	5984
5981	5985
5981	6117
5981	6118
5981	6119
5981	7150
5981	7153
5981	7155
5981	7157
5981	7520
5981	8243
5981	10111
5981	10714
5981	23649
5981	54107
5981	55655
5981	56655
5981	57804
5981	63922
5982	5983
5982	5984
5982	5985
5982	6117
5982	6118
5982	6119
5982	7150
5982	10111
5982	23649
5982	54921
5982	63922
5982	9557
5982	79075
5983	5984
5983	5985
5983	23649
5983	54921
5983	63922
5983	79075
5984	5985
5984	10111
5984	23649
5984	51720
5984	54921
5984	63922
5984	79075
5985	23649
5985	54921
5985	63922
5985	79075
6117	6118
6117	6119
6117	7150
6117	7153
6117	7155
6117	7156
6117	7157
6117	7158
6117	7486
6117	7515
6117	10714
6117	11073
6117	11277
6117	23649
6117	54107
6117	55120
6117	56655
6117	57697
6117	57804
6117	200558
6117	9557
6117	80010
6118	6119
6118	7150
6118	7156
6118	7158
6118	55120
6118	57697
6118	9557
