from	to
6789	6950
6789	6188
6789	10694
6789	6222
6789	207
6789	908
6789	3329
80143	29966
80143	51765
80143	7871
80143	5518
80143	25843
80143	5515
80143	11235
80143	8428
80143	80342
80143	85369
80143	57464
80143	26127
80143	10494
22948	1025
22948	5566
22948	10575
22948	29966
22948	7415
22948	10574
22948	3476
22948	6468
22948	5521
22948	5524
22948	1019
22948	6788
22948	25843
22948	5522
22948	55844
22948	7203
22948	5515
22948	653333
22948	8428
22948	5567
22948	5520
22948	1454
22948	1020
22948	80342
22948	3611
22948	10014
22948	6950
22948	83992
22948	10694
22948	25895
22948	5261
22948	908
22948	10693
22948	135138
22948	4215
22948	112858
22948	55781
22948	10494
3593	155871
1025	10575
1025	10574
1025	10383
1025	117159
1025	6232
1025	4744
1025	3313
1025	3320
1025	6191
1025	8607
1025	7203
1025	203068
1025	9532
1025	155807
1025	155871
1025	790
1025	6950
1025	5591
1025	6188
1025	10694
1025	6222
1025	908
1025	3329
5566	10383
5566	117159
5566	6232
5566	3313
5566	3320
5566	6191
5566	7203
5566	203068
5566	5567
5566	155871
5566	790
5566	2197
5566	6950
5566	6188
5566	10694
5566	6222
5566	908
5566	4215
5566	3329
10575	29966
10575	7415
10575	10574
10575	3476
10575	6468
10575	5521
10575	5524
10575	1019
10575	5522
10575	55844
10575	7203
10575	5515
10575	653333
10575	8428
10575	5567
10575	5520
10575	1454
10575	1020
10575	3611
10575	155871
10575	10014
10575	6950
10575	10694
10575	25895
10575	5261
10575	908
10575	10693
10575	135138
10575	4215
10575	112858
10575	55781
10575	10494
10575	92342
29966	51765
29966	10574
29966	7871
29966	56455
29966	5524
29966	5518
29966	25843
29966	7203
29966	5515
29966	11235
29966	8428
29966	5520
29966	80342
29966	6950
29966	83992
29966	10694
29966	85369
29966	908
29966	57464
29966	54764
29966	26127
29966	10494
51765	10383
51765	117159
51765	6232
51765	3313
51765	7871
51765	56455
51765	5524
51765	5518
51765	25843
51765	6191
51765	8607
51765	5515
51765	203068
51765	11235
51765	8428
51765	2197
51765	6188
51765	83992
51765	85369
51765	5261
51765	6222
51765	57464
51765	26127
51765	10494
7415	10574
7415	5518
7415	1019
7415	3320
7415	7203
7415	5515
7415	11235
7415	3308
7415	9532
7415	11200
7415	10014
7415	6950
7415	10694
7415	207
7415	908
7415	135138
7415	4215
10574	3476
10574	6468
10574	5521
10574	5524
10574	1019
10574	25843
10574	5522
10574	55844
10574	7203
10574	5515
10574	653333
10574	8428
10574	5567
10574	5520
10574	1454
10574	1020
10574	3611
10574	10014
10574	6950
10574	10694
10574	25895
10574	5261
10574	908
10574	135138
10574	4215
10574	112858
10574	55781
10574	10494
10574	92342
10383	1019
10383	6788
10383	3320
10383	203068
10383	8428
10383	5567
10383	1454
10383	1020
10383	3611
10383	155871
10383	790
10383	10014
10383	5261
10383	112858
10383	55781
10383	10494
3476	7203
3476	5515
3476	6950
3476	10694
3476	25895
3476	908
117159	1019
117159	6788
117159	8428
117159	5567
117159	1454
117159	3611
117159	5261
117159	112858
117159	55781
117159	10494
6232	5524
6232	6191
6232	8428
6232	5567
6232	1454
6232	1020
6232	3611
6232	2197
6232	6188
6232	5261
6232	6222
6232	4215
6232	112858
6232	55781
6232	10494
4744	1019
4744	6788
4744	8428
4744	5567
4744	1454
4744	1020
4744	5261
4744	112858
4744	55781
4744	10494
6468	5518
6468	8607
6468	7203
6468	6950
6468	10694
5521	5518
5521	5522
5521	8607
5521	7203
5521	5515
5521	9532
5521	11200
5521	155807
5521	155871
5521	6950
5521	10694
5521	51400
5521	908
5521	5528
3313	1019
3313	6788
3313	3320
3313	8428
3313	5567
3313	155807
3313	1454
3313	1020
3313	3611
3313	155871
3313	10014
3313	5261
3313	207
3313	4215
3313	3329
3313	112858
3313	55781
3313	10494
7871	5518
7871	6788
7871	25843
7871	5515
7871	11235
7871	8428
7871	85369
7871	54764
7871	10494
56455	5518
56455	25843
56455	5515
56455	11235
56455	85369
56455	10494
5524	5518
5524	7203
5524	5515
5524	5728
5524	155807
5524	155871
5524	6950
5524	10694
5524	207
5524	908
5518	1019
5518	151648
5518	3320
5518	25843
5518	5522
5518	55844
5518	5527
5518	5515
5518	11235
5518	8428
5518	5520
5518	11200
5518	155807
5518	1454
5518	80342
5518	3611
5518	155871
5518	10014
5518	5529
5518	6188
5518	83992
5518	85369
5518	51400
5518	5261
5518	207
5518	4215
5518	3329
5518	51792
5518	26127
5518	112858
5518	151246
5518	55781
5518	10494
5518	68549
5518	6097
5518	5528
1019	6788
1019	3320
1019	6191
1019	7203
1019	203068
1019	9532
1019	155871
1019	2197
1019	6950
1019	10694
1019	6222
1019	908
151648	5527
151648	5515
151648	5591
151648	5529
151648	51792
151648	5528
6788	3320
6788	25843
6788	6191
6788	203068
6788	1454
6788	790
6788	2197
6788	6950
6788	6188
6788	6222
6788	207
3320	6191
3320	203068
3320	3308
3320	8428
3320	5567
3320	9532
3320	1454
3320	1020
3320	3611
3320	155871
3320	10014
3320	6950
3320	5591
3320	6188
3320	25895
3320	5261
3320	207
3320	135138
3320	4215
3320	3329
3320	112858
3320	10494
3320	92342
25843	7203
25843	5515
25843	11235
25843	8428
25843	80342
25843	6950
25843	83992
25843	10694
25843	85369
25843	908
25843	57464
25843	54764
25843	26127
25843	10494
5522	7203
5522	5515
5522	9532
5522	155807
5522	155871
5522	6950
5522	10694
5522	908
5522	3329
6191	8428
6191	5567
6191	1454
6191	1020
6191	3611
6191	10014
6191	2197
6191	6188
6191	5261
6191	6222
6191	112858
6191	55781
6191	10494
55844	7203
55844	5515
55844	5520
55844	9532
55844	10014
55844	6950
55844	10694
55844	51400
55844	908
55844	10693
55844	51792
8607	7203
8607	203068
8607	3308
8607	8428
8607	1454
8607	1020
8607	3611
8607	155871
8607	790
8607	10014
8607	5591
8607	25895
8607	51400
8607	5261
8607	908
8607	4215
8607	112858
8607	10494
8607	92342
8607	5528
7203	5515
7203	653333
7203	8428
7203	5567
7203	5520
7203	11200
7203	1454
7203	1020
7203	3611
7203	10014
7203	6950
7203	83992
7203	10694
7203	25895
7203	5261
7203	908
7203	10693
7203	135138
7203	4215
7203	112858
7203	55781
7203	10494
7203	92342
5527	5515
5527	11200
5527	155807
5527	155871
5527	207
5527	51792
5527	22873
5515	11235
5515	8428
5515	5520
5515	11200
5515	155807
5515	80342
5515	155871
5515	790
5515	10014
5515	6950
5515	5591
5515	5529
5515	83992
5515	10694
5515	85369
5515	51400
5515	207
5515	908
5515	4215
5515	51792
5515	26127
5515	22873
5515	151246
5515	55781
5515	10494
5515	68549
5515	6097
5515	5528
203068	8428
203068	5567
203068	1454
203068	1020
203068	3611
203068	10014
203068	5261
203068	207
203068	135138
203068	4215
203068	112858
203068	55781
203068	10494
11235	8428
11235	80342
11235	83992
11235	85369
11235	26127
11235	10494
3308	9532
3308	155807
3308	3611
3308	155871
3308	10014
3308	6950
3308	6188
3308	85369
3308	5261
3308	207
3308	135138
3308	4215
3308	10494
3308	92342
653333	6950
653333	10694
653333	908
653333	10693
8428	9532
8428	80342
8428	790
8428	2197
8428	6950
8428	6188
8428	83992
8428	10694
8428	85369
8428	6222
8428	908
8428	57464
8428	26127
8428	10494
5567	9532
5567	1020
5567	155871
5567	790
5567	2197
5567	6950
5567	5591
5567	6188
5567	10694
5567	6222
5567	908
5567	3329
5567	112858
5567	5308
5520	11200
5520	155807
5520	1454
5520	155871
5520	10014
5520	6950
5520	10694
5520	5261
5520	908
5520	51792
5520	55781
5520	10494
9532	1454
9532	1020
9532	3611
9532	10014
9532	25895
9532	5261
9532	4215
9532	112858
9532	55781
9532	10494
5728	155871
5728	207
11200	6950
11200	5591
11200	5529
11200	908
11200	5528
155807	5529
155807	6188
155807	5528
1454	790
1454	2197
1454	6950
1454	5591
1454	6188
1454	10694
1454	6222
1454	908
1454	3329
1454	55781
1020	155871
1020	790
1020	2197
1020	6950
1020	6188
1020	10694
1020	6222
1020	908
1020	3329
80342	6950
80342	10694
80342	85369
80342	57464
80342	26127
3611	790
3611	2197
3611	6950
3611	5591
3611	6188
3611	10694
3611	6222
3611	207
3611	908
3611	3329
155871	5591
155871	5529
155871	207
155871	3552
155871	5528
790	10014
790	6188
790	5261
790	4215
790	112858
790	55781
790	10494
10014	6950
10014	5591
10014	6188
10014	10694
10014	908
10014	3329
2197	6188
2197	5261
2197	6222
2197	112858
2197	55781
2197	10494
6950	6188
6950	83992
6950	10694
6950	25895
6950	5261
6950	908
6950	10693
6950	135138
6950	4215
6950	112858
6950	55781
6950	10494
6950	92342
5591	5261
5591	207
5591	4215
5591	112858
5591	55781
5591	10494
5529	51792
5529	22873
5529	68549
5529	6097
6188	5261
6188	6222
6188	112858
6188	55781
6188	10494
83992	10694
83992	85369
83992	908
83992	57464
83992	54764
83992	10494
10694	25895
10694	5261
10694	908
10694	135138
10694	4215
10694	112858
10694	55781
10694	10494
10694	92342
25895	908
25895	10693
25895	3329
85369	57464
85369	54764
85369	26127
85369	10494
51400	51792
51400	5528
5261	6222
5261	908
5261	3329
6222	112858
6222	55781
6222	10494
908	135138
908	4215
908	112858
908	55781
908	10494
908	92342
10693	92342
57464	54764
57464	10494
4215	5528
3329	112858
3329	55781
3329	10494
54764	26127
51792	5528
26127	10494
22873	5528
151246	68549
151246	5528
6097	5528
