from	to
2597	4609
1432	3565
1432	2056
1432	5595
1432	2033
1432	3553
1432	6774
1432	7157
1432	1956
1432	598
1432	2353
1432	3576
1432	8061
1432	836
1432	4088
1432	3716
1432	1499
1432	6772
1432	5743
1432	3725
1432	6714
1432	3561
1432	367
1432	1906
1432	2308
1432	3559
1432	5599
1432	3566
1432	5970
1432	3569
1432	1385
1432	3718
1432	7124
1432	6464
1432	2099
1432	3586
1432	4067
1432	207
1432	4609
3565	3567
3565	3553
3565	3574
3565	5290
3565	6774
3565	3383
3565	3578
3565	1956
3565	3815
3565	6777
3565	3600
3565	3562
3565	1437
3565	6778
3565	3667
3565	3596
3565	2353
3565	3576
3565	3563
3565	6776
3565	3716
3565	6772
3565	5743
3565	3570
3565	3725
3565	7099
3565	3561
3565	8660
3565	3559
3565	3717
3565	2885
3565	3566
3565	3630
3565	5970
3565	3569
3565	5777
3565	3718
3565	1438
3565	7124
3565	6464
3565	3635
3565	3568
3565	3586
3565	5295
3565	7422
3565	4609
3567	3845
3567	5156
3567	3553
3567	3574
3567	5290
3567	3383
3567	3578
3567	1956
3567	5291
3567	6777
3567	3600
3567	3562
3567	1437
3567	6778
3567	3596
3567	3576
3567	3563
3567	5781
3567	6776
3567	3716
3567	9846
3567	3570
3567	4893
3567	3561
3567	5293
3567	3559
3567	3717
3567	2885
3567	3566
3567	1439
3567	3569
3567	6654
3567	5777
3567	3718
3567	1438
3567	7124
3567	6464
3567	3635
3567	3265
3567	3568
3567	3586
3567	5295
3567	4067
2056	5159
2056	2033
2056	6774
2056	1956
2056	3815
2056	6777
2056	3562
2056	1437
2056	4846
2056	598
2056	3952
2056	6776
2056	3716
2056	405
2056	6772
2056	3725
2056	8660
2056	1906
2056	3717
2056	2885
2056	5599
2056	1439
2056	3569
2056	1385
2056	6654
2056	5777
2056	3718
2056	1438
2056	6464
2056	3586
2056	627
2056	4067
2056	3091
2056	207
2056	7422
3845	5156
3845	999
3845	5159
3845	5595
3845	2033
3845	5290
3845	2247
3845	6774
3845	1950
3845	3480
3845	7157
3845	2064
3845	1956
3845	3815
3845	5291
3845	3562
3845	1437
3845	598
3845	3667
3845	3563
3845	5781
3845	3716
3845	1499
3845	2475
3845	9846
3845	5743
3845	4893
3845	3725
3845	5728
3845	6714
3845	3561
3845	8660
3845	5293
3845	3559
3845	3717
3845	2885
3845	5599
3845	1439
3845	5970
3845	3569
3845	6654
3845	3718
3845	1438
3845	6464
3845	3265
3845	3568
3845	627
3845	5295
3845	4067
3845	207
3845	7422
3845	4609
5156	5159
5156	5290
5156	2247
5156	6774
5156	1950
5156	7157
5156	1956
5156	5291
5156	6777
5156	3562
5156	6778
5156	3479
5156	857
5156	5781
5156	6776
5156	3716
5156	6772
5156	4893
5156	5728
5156	6714
5156	3717
5156	2885
5156	3630
5156	3569
5156	6654
5156	3718
5156	6464
5156	3265
5156	5295
5156	7422
4316	999
4316	2247
4316	6774
4316	1950
4316	1956
4316	4312
4316	1499
4316	4318
4316	627
999	5595
999	2033
999	5290
999	2247
999	6774
999	1950
999	3480
999	7157
999	2064
999	1956
999	3479
999	3576
999	836
999	4088
999	857
999	1499
999	5743
999	3725
999	5728
999	4318
999	6714
999	367
999	3569
999	2099
999	3265
999	5295
999	207
999	7422
999	4609
5159	5290
5159	2247
5159	6774
5159	1950
5159	7157
5159	1956
5159	5291
5159	6777
5159	3562
5159	1437
5159	6778
5159	3479
5159	3667
5159	5781
5159	6776
5159	3716
5159	6772
5159	2475
5159	4893
5159	5728
5159	6714
5159	5293
5159	3717
5159	2885
5159	3630
5159	3569
5159	6654
5159	6464
5159	3265
5159	3586
5159	627
5159	5295
5159	4067
5159	207
5159	7422
5595	2247
5595	6774
5595	1950
5595	3480
5595	7157
5595	1956
5595	6777
5595	1437
5595	598
5595	3479
5595	3667
5595	2353
5595	3576
5595	836
5595	995
5595	4088
5595	857
5595	5781
5595	6776
5595	3716
5595	6772
5595	2475
5595	9846
5595	5743
5595	3570
5595	4893
5595	3725
5595	5728
5595	4318
5595	6714
5595	3561
5595	8660
5595	1906
5595	2308
5595	3559
5595	3717
5595	2885
5595	5599
5595	3630
5595	596
5595	5970
5595	3569
5595	1385
5595	6654
5595	5777
5595	3718
5595	7124
5595	6464
5595	2099
5595	3265
5595	4067
5595	3091
5595	207
5595	7422
5595	4609
2033	3553
2033	6774
2033	7157
2033	2071
2033	5468
2033	6777
2033	4846
2033	6778
2033	2353
2033	3576
2033	8061
2033	3952
2033	5105
2033	4088
2033	440093
2033	6776
2033	1499
2033	405
2033	6772
2033	3725
2033	6714
2033	367
2033	1906
2033	2308
2033	2068
2033	5599
2033	596
2033	5970
2033	1385
2033	7124
2033	2099
2033	3091
2033	207
2033	7422
2033	4609
3553	5290
3553	2247
3553	6774
3553	3383
3553	1950
3553	5468
3553	3600
3553	1437
3553	4846
3553	3479
3553	3596
3553	2353
3553	3576
3553	836
3553	3952
3553	4312
3553	6772
3553	5743
3553	3725
3553	4318
3553	7099
3553	1906
3553	3717
3553	5599
3553	3630
3553	5970
3553	3569
3553	3554
3553	7124
3553	3586
3553	627
3553	5295
3553	7422
3574	3578
3574	6777
3574	3600
3574	3562
3574	1437
3574	3667
3574	3596
3574	3576
3574	3563
3574	6776
3574	3716
3574	3570
3574	3561
3574	8660
3574	3559
3574	3717
3574	3566
3574	3569
3574	3718
3574	7124
3574	3586
3574	5295
5290	2247
5290	6774
5290	1950
5290	3480
5290	7157
5290	2064
5290	1956
5290	3815
5290	5291
5290	3562
5290	1437
5290	3479
5290	3667
5290	3563
5290	5781
5290	3716
5290	1499
5290	2475
5290	9846
5290	4893
5290	5728
5290	6714
5290	3561
5290	367
5290	8660
5290	5293
5290	1906
5290	3559
5290	3717
5290	2885
5290	3566
5290	3630
5290	1439
5290	5970
5290	3554
5290	1385
5290	6654
5290	5777
5290	3718
5290	1438
5290	6464
5290	2099
5290	3635
5290	3265
5290	3568
5290	627
5290	5295
5290	4067
5290	207
5290	7422
5290	4609
2247	6774
2247	3383
2247	1950
2247	3480
2247	7157
2247	2064
2247	1956
2247	3815
2247	5291
2247	4846
2247	6778
2247	3479
2247	2353
2247	3576
2247	4312
2247	5781
2247	3716
2247	5743
2247	4893
2247	4318
2247	3561
2247	3717
2247	3630
2247	3569
2247	6654
2247	3718
2247	3265
2247	627
2247	5295
2247	3091
2247	207
2247	7422
2247	4609
6774	3383
6774	1950
6774	3480
6774	7157
6774	2064
6774	3578
6774	1956
6774	3815
6774	6777
6774	3600
6774	1437
6774	6778
6774	598
6774	3479
6774	3596
6774	2353
6774	3576
6774	836
6774	3952
6774	4312
6774	4088
6774	5781
6774	6776
6774	3716
6774	1499
6774	6772
6774	2475
6774	5743
6774	3570
6774	3725
6774	5728
6774	4318
6774	6714
6774	7099
6774	3561
6774	367
6774	2308
6774	3559
6774	3717
6774	2885
6774	5599
6774	3566
6774	3630
6774	596
6774	1439
6774	5970
6774	3569
6774	3554
6774	1385
6774	5777
6774	3718
6774	1438
6774	7124
6774	2099
6774	3265
6774	3586
6774	627
6774	5295
6774	4067
6774	3091
6774	207
6774	7422
6774	4609
3383	1950
3383	7157
3383	5468
3383	3600
3383	1437
3383	4846
3383	6778
3383	3576
3383	3952
3383	5743
3383	3725
3383	4318
3383	6714
3383	7099
3383	1906
3383	3559
3383	5599
3383	3630
3383	5970
3383	3569
3383	7124
3383	3586
3383	207
3383	7422
1950	3480
1950	7157
1950	2064
1950	1956
1950	3815
1950	5291
1950	6777
1950	1437
1950	4846
1950	598
1950	3479
1950	3667
1950	2353
1950	3576
1950	4312
1950	857
1950	5781
1950	6776
1950	3716
1950	1499
1950	6772
1950	2475
1950	5743
1950	3570
1950	4893
1950	3725
1950	5728
1950	4318
1950	6714
1950	367
1950	1906
1950	3559
1950	3717
1950	2885
1950	5599
1950	3630
1950	3569
1950	1385
1950	6654
1950	7124
1950	6464
1950	2099
1950	3265
1950	3586
1950	5295
1950	4067
1950	207
1950	7422
1950	4609
775	857
775	3630
3480	7157
3480	5291
3480	6777
3480	3479
3480	3667
3480	5781
3480	3716
3480	1499
3480	2475
3480	4893
3480	5728
3480	6714
3480	367
3480	8660
3480	5293
3480	3717
3480	2885
3480	3630
3480	6654
3480	6464
3480	2099
3480	3265
3480	627
3480	5295
3480	7422
7157	2064
7157	1956
7157	1030
7157	5468
7157	3815
7157	6777
7157	4846
7157	6778
7157	598
7157	3479
7157	2353
7157	836
7157	3952
7157	995
7157	4312
7157	4088
7157	857
7157	6776
7157	1499
7157	6772
7157	2475
7157	5743
7157	4893
7157	3725
7157	5728
7157	4318
7157	6714
7157	367
7157	3717
7157	5599
7157	3630
7157	596
7157	5970
7157	3569
7157	1385
7157	7124
7157	2099
7157	3265
7157	627
7157	3091
7157	207
7157	7422
7157	4609
2064	1956
2064	5291
2064	3479
2064	3667
2064	4312
2064	857
2064	5781
2064	3716
2064	1499
2064	6772
2064	2475
2064	5743
2064	3570
2064	4893
2064	3725
2064	5728
2064	4318
2064	6714
2064	367
2064	5293
2064	3717
2064	2885
2064	5599
2064	3630
2064	3569
2064	6654
2064	3718
2064	6464
2064	2099
2064	3265
2064	627
2064	5295
2064	207
2064	7422
2064	4609
3578	6777
3578	3600
3578	3562
3578	1437
3578	6778
3578	3596
3578	3576
3578	6776
3578	3716
3578	6772
3578	3570
3578	3561
3578	3559
3578	3566
3578	3569
3578	3718
3578	7124
3578	3568
3578	3586
1956	5468
1956	5291
1956	6777
1956	3600
1956	3562
1956	1437
1956	3479
1956	3667
1956	3596
1956	2353
1956	3576
1956	836
1956	3952
1956	857
1956	5781
1956	6776
1956	3716
1956	1499
1956	6772
1956	2475
1956	9846
1956	5743
1956	4893
1956	3725
1956	5728
1956	4318
1956	6714
1956	7099
1956	367
1956	8660
1956	5293
1956	1906
1956	3717
1956	2885
1956	3630
1956	3569
1956	1385
1956	6654
1956	3718
1956	7124
1956	6464
1956	2099
1956	3265
1956	3586
1956	627
1956	5295
1956	4067
1956	3091
1956	7422
1956	4609
1030	4088
1030	4609
2071	2068
5468	4846
5468	6778
5468	2353
5468	3952
5468	5105
5468	4088
5468	857
5468	6776
5468	1499
5468	6772
5468	2475
5468	5743
5468	3725
5468	5728
5468	4318
5468	7099
5468	2308
5468	5599
5468	3630
5468	5970
5468	3569
5468	7124
5468	7422
3815	5291
3815	6777
3815	3562
3815	1437
3815	3479
3815	3563
3815	5781
3815	6776
3815	6772
3815	9846
3815	4893
3815	5293
3815	3717
3815	2885
3815	5599
3815	3630
3815	6654
3815	5777
3815	1438
3815	6464
3815	3265
3815	627
3815	5295
3815	4067
3815	207
3815	7422
5291	3562
5291	1437
5291	3667
5291	3563
5291	5781
5291	3716
5291	2475
5291	9846
5291	4893
5291	5728
5291	6714
5291	3561
5291	8660
5291	5293
5291	3559
5291	3717
5291	2885
5291	1439
5291	6654
5291	3718
5291	1438
5291	6464
5291	3635
5291	3265
5291	3568
5291	5295
5291	4067
5291	207
6777	3600
6777	3562
6777	1437
6777	6778
6777	598
6777	3479
6777	2353
6777	3952
6777	3563
6777	5781
6777	6776
6777	3716
6777	6772
6777	6714
6777	3561
6777	3559
6777	3717
6777	3566
6777	3630
6777	1439
6777	3569
6777	5777
6777	3718
6777	1438
6777	3568
6777	4067
6777	207
6777	4609
3600	1437
3600	3596
3600	3576
3600	3563
3600	6776
3600	3716
3600	9846
3600	3570
3600	3561
3600	3559
3600	2885
3600	3566
3600	1439
3600	3569
3600	6654
3600	3718
3600	1438
3600	7124
3600	6464
3600	3586
3562	1437
3562	3596
3562	3563
3562	5781
3562	6776
3562	3716
3562	9846
3562	3570
3562	4893
3562	3561
3562	5293
3562	3559
3562	3717
3562	2885
3562	3566
3562	1439
3562	3569
3562	6654
3562	5777
3562	3718
3562	1438
3562	7124
3562	6464
3562	3635
3562	3265
3562	3568
3562	3586
3562	5295
3562	207
3562	4609
1437	3596
1437	3576
1437	3563
1437	5781
1437	6776
1437	3716
1437	6772
1437	9846
1437	5743
1437	3570
1437	4893
1437	7099
1437	3561
1437	5293
1437	3559
1437	3717
1437	2885
1437	5599
1437	3566
1437	1439
1437	3569
1437	6654
1437	5777
1437	3718
1437	1438
1437	7124
1437	6464
1437	3635
1437	3265
1437	3568
1437	3586
1437	5295
1437	4067
1437	207
1437	7422
4846	3479
4846	3667
4846	836
4846	3952
4846	857
