"","gene_id1","gene_id2","gene_symbol1","gene_symbol2","hub_score1","hub_score2","combined_score"
"1",8647,3172,"ABCB11","HNF4A",NA,NA,NA
"2",8647,3175,"ABCB11","ONECUT1",NA,NA,NA
"3",9619,3172,"ABCG1","HNF4A",NA,NA,NA
"4",9619,4149,"ABCG1","MAX",NA,NA,NA
"5",9619,6872,"ABCG1","TAF1",NA,NA,NA
"6",10449,3172,"ACAA2","HNF4A",NA,NA,NA
"7",27034,3172,"ACAD8","HNF4A",NA,NA,NA
"8",27034,4149,"ACAD8","MAX",NA,NA,NA
"9",27034,4609,"ACAD8","MYC",NA,NA,NA
"10",27034,6872,"ACAD8","TAF1",NA,NA,NA
"11",79611,3172,"ACSS3","HNF4A",NA,NA,NA
"12",79611,3175,"ACSS3","ONECUT1",NA,NA,NA
"13",95,3172,"ACY1","HNF4A",NA,NA,NA
"14",97,1869,"ACYP1","E2F1",NA,NA,NA
"15",97,6872,"ACYP1","TAF1",NA,NA,NA
"16",55811,6927,"ADCY10","HNF1A",NA,NA,NA
"17",55811,3172,"ADCY10","HNF4A",NA,NA,NA
"18",113,3172,"ADCY7","HNF4A",NA,NA,NA
"19",124,6927,"ADH1A","HNF1A",NA,NA,NA
"20",124,3175,"ADH1A","ONECUT1",NA,NA,NA
"21",125,6927,"ADH1B","HNF1A",NA,NA,NA
"22",125,3172,"ADH1B","HNF4A",NA,NA,NA
"23",125,3175,"ADH1B","ONECUT1",NA,NA,NA
"24",127,6927,"ADH4","HNF1A",NA,NA,NA
"25",130,6927,"ADH6","HNF1A",NA,NA,NA
"26",130,3172,"ADH6","HNF4A",NA,NA,NA
"27",84890,3172,"ADO","HNF4A",NA,NA,NA
"28",183,6927,"AGT","HNF1A",NA,NA,NA
"29",183,3172,"AGT","HNF4A",NA,NA,NA
"30",183,3175,"AGT","ONECUT1",NA,NA,NA
"31",231,3172,"AKR1B1","HNF4A",NA,NA,NA
"32",1646,6927,"AKR1C2","HNF1A",NA,NA,NA
"33",1646,3172,"AKR1C2","HNF4A",NA,NA,NA
"34",8644,6927,"AKR1C3","HNF1A",NA,NA,NA
"35",8644,3172,"AKR1C3","HNF4A",NA,NA,NA
"36",1109,6927,"AKR1C4","HNF1A",NA,NA,NA
"37",1109,3172,"AKR1C4","HNF4A",NA,NA,NA
"38",1109,3175,"AKR1C4","ONECUT1",NA,NA,NA
"39",6718,1869,"AKR1D1","E2F1",NA,NA,NA
"40",216,3172,"ALDH1A1","HNF4A",NA,NA,NA
"41",218,3172,"ALDH3A1","HNF4A",NA,NA,NA
"42",218,3175,"ALDH3A1","ONECUT1",NA,NA,NA
"43",221,3172,"ALDH3B1","HNF4A",NA,NA,NA
"44",7915,3172,"ALDH5A1","HNF4A",NA,NA,NA
"45",7915,3175,"ALDH5A1","ONECUT1",NA,NA,NA
"46",29880,1869,"ALG5","E2F1",NA,NA,NA
"47",29880,6872,"ALG5","TAF1",NA,NA,NA
"48",79053,3172,"ALG8","HNF4A",NA,NA,NA
"49",23600,3172,"AMACR","HNF4A",NA,NA,NA
"50",262,4149,"AMD1","MAX",NA,NA,NA
"51",262,4609,"AMD1","MYC",NA,NA,NA
"52",262,6872,"AMD1","TAF1",NA,NA,NA
"53",51074,3172,"APIP","HNF4A",NA,NA,NA
"54",51074,3175,"APIP","ONECUT1",NA,NA,NA
"55",384,3172,"ARG2","HNF4A",NA,NA,NA
"56",443,3175,"ASPA","ONECUT1",NA,NA,NA
"57",51582,1869,"AZIN1","E2F1",NA,NA,NA
"58",51582,4149,"AZIN1","MAX",NA,NA,NA
"59",51582,4609,"AZIN1","MYC",NA,NA,NA
"60",51582,6872,"AZIN1","TAF1",NA,NA,NA
"61",587,3172,"BCAT2","HNF4A",NA,NA,NA
"62",594,1869,"BCKDHB","E2F1",NA,NA,NA
"63",594,4149,"BCKDHB","MAX",NA,NA,NA
"64",594,4609,"BCKDHB","MYC",NA,NA,NA
"65",594,6872,"BCKDHB","TAF1",NA,NA,NA
"66",669,3172,"BPGM","HNF4A",NA,NA,NA
"67",669,6872,"BPGM","TAF1",NA,NA,NA
"68",9023,1869,"CH25H","E2F1",NA,NA,NA
"69",9023,4149,"CH25H","MAX",NA,NA,NA
"70",9023,4609,"CH25H","MYC",NA,NA,NA
"71",9023,3175,"CH25H","ONECUT1",NA,NA,NA
"72",56548,4609,"CHST7","MYC",NA,NA,NA
"73",8560,1869,"DEGS1","E2F1",NA,NA,NA
"74",8560,4149,"DEGS1","MAX",NA,NA,NA
"75",8560,4609,"DEGS1","MYC",NA,NA,NA
"76",8560,6872,"DEGS1","TAF1",NA,NA,NA
"77",1716,3172,"DGUOK","HNF4A",NA,NA,NA
"78",1719,1869,"DHFR","E2F1",NA,NA,NA
"79",1719,3175,"DHFR","ONECUT1",NA,NA,NA
"80",1719,6872,"DHFR","TAF1",NA,NA,NA
"81",1788,29947,"DNMT3A","DNMT3L",NA,NA,NA
"82",1788,4609,"DNMT3A","MYC",NA,NA,NA
"83",1789,29947,"DNMT3B","DNMT3L",NA,NA,NA
"84",1789,7329,"DNMT3B","UBE2I",NA,NA,NA
"85",1798,3172,"DPAGT1","HNF4A",NA,NA,NA
"86",1798,4149,"DPAGT1","MAX",NA,NA,NA
"87",1798,4609,"DPAGT1","MYC",NA,NA,NA
"88",1798,6872,"DPAGT1","TAF1",NA,NA,NA
"89",8818,3172,"DPM2","HNF4A",NA,NA,NA
"90",8818,4149,"DPM2","MAX",NA,NA,NA
"91",8818,4609,"DPM2","MYC",NA,NA,NA
"92",1869,10682,"E2F1","EBP",NA,NA,NA
"93",1869,58478,"E2F1","ENOPH1",NA,NA,NA
"94",1869,27304,"E2F1","MOCS3",NA,NA,NA
"95",1869,55577,"E2F1","NAGK",NA,NA,NA
"96",1869,53371,"E2F1","NUP54",NA,NA,NA
"97",1869,4947,"E2F1","OAZ2",NA,NA,NA
"98",1869,5145,"E2F1","PDE6A",NA,NA,NA
"99",1869,5147,"E2F1","PDE6D",NA,NA,NA
"100",1869,8398,"E2F1","PLA2G6",NA,NA,NA
"101",1869,10622,"E2F1","POLR3G",NA,NA,NA
"102",1869,51728,"E2F1","POLR3K",NA,NA,NA
"103",1869,29968,"E2F1","PSAT1",NA,NA,NA
"104",1869,9791,"E2F1","PTDSS1",NA,NA,NA
"105",1869,54543,"E2F1","TOMM7",NA,NA,NA
"106",1869,23471,"E2F1","TRAM1",NA,NA,NA
"107",1869,677,"E2F1","ZFP36L1",NA,NA,NA
"108",10682,6872,"EBP","TAF1",NA,NA,NA
"109",64834,4149,"ELOVL1","MAX",NA,NA,NA
"110",64834,4609,"ELOVL1","MYC",NA,NA,NA
"111",64834,3175,"ELOVL1","ONECUT1",NA,NA,NA
"112",58478,4149,"ENOPH1","MAX",NA,NA,NA
"113",58478,4609,"ENOPH1","MYC",NA,NA,NA
"114",58478,6872,"ENOPH1","TAF1",NA,NA,NA
"115",2159,3172,"F10","HNF4A",NA,NA,NA
"116",2158,3172,"F9","HNF4A",NA,NA,NA
"117",2158,3175,"F9","ONECUT1",NA,NA,NA
"118",2224,3172,"FDPS","HNF4A",NA,NA,NA
"119",2272,3172,"FHIT","HNF4A",NA,NA,NA
"120",2356,4149,"FPGS","MAX",NA,NA,NA
"121",2356,6872,"FPGS","TAF1",NA,NA,NA
"122",50486,6927,"G0S2","HNF1A",NA,NA,NA
"123",50486,3172,"G0S2","HNF4A",NA,NA,NA
"124",2538,3172,"G6PC","HNF4A",NA,NA,NA
"125",2538,3175,"G6PC","ONECUT1",NA,NA,NA
"126",2592,6872,"GALT","TAF1",NA,NA,NA
