"","gene_id1","gene_id2","score","gene_symbol1","gene_symbol2"
"136",23411,604,710,"SIRT1","BCL6"
"137",23411,4318,724,"SIRT1","MMP9"
"138",23411,5468,975,"SIRT1","PPARG"
"139",23411,3952,781,"SIRT1","LEP"
"140",23411,3725,851,"SIRT1","JUN"
"141",23411,5599,931,"SIRT1","MAPK8"
"142",23411,8660,839,"SIRT1","IRS2"
"143",23411,7157,996,"SIRT1","TP53"
"144",23411,1385,845,"SIRT1","CREB1"
"145",23411,3479,802,"SIRT1","IGF1"
"146",23411,5728,833,"SIRT1","PTEN"
"147",23411,999,727,"SIRT1","CDH1"
"148",23411,3320,729,"SIRT1","HSP90AA1"
"149",23411,3667,862,"SIRT1","IRS1"
"150",23411,2475,866,"SIRT1","MTOR"
"151",23411,2033,994,"SIRT1","EP300"
"152",23411,207,944,"SIRT1","AKT1"
"153",23411,2597,847,"SIRT1","GAPDH"
"154",23411,6774,860,"SIRT1","STAT3"
"155",23411,627,770,"SIRT1","BDNF"
"156",23411,5970,969,"SIRT1","RELA"
"157",23411,367,980,"SIRT1","AR"
"158",23411,7422,719,"SIRT1","VEGFA"
"159",23411,3569,784,"SIRT1","IL6"
"160",23411,3091,716,"SIRT1","HIF1A"
"161",27006,2263,979,"FGF22","FGFR2"
"162",27006,26281,907,"FGF22","FGF20"
"163",27006,2251,913,"FGF22","FGF6"
"164",27006,867,902,"FGF22","CBL"
"165",27006,8823,908,"FGF22","FGF16"
"166",27006,1956,768,"FGF22","EGFR"
"167",27006,3791,810,"FGF22","KDR"
"168",27006,10818,933,"FGF22","FRS2"
"169",27006,8817,957,"FGF22","FGF18"
"170",27006,2247,917,"FGF22","FGF2"
"171",27006,2248,908,"FGF22","FGF3"
"172",27006,6654,909,"FGF22","SOS1"
"173",27006,2321,810,"FGF22","FLT1"
"174",27006,5291,902,"FGF22","PIK3CB"
"175",27006,7010,779,"FGF22","TEK"
"176",27006,5290,902,"FGF22","PIK3CA"
"177",27006,2549,902,"FGF22","GAB1"
"178",27006,5781,918,"FGF22","PTPN11"
"179",27006,2249,909,"FGF22","FGF4"
"180",27006,1436,708,"FGF22","CSF1R"
"181",27006,3815,763,"FGF22","KIT"
"182",27006,5156,746,"FGF22","PDGFRA"
"183",27006,3265,923,"FGF22","HRAS"
"184",27006,2255,904,"FGF22","FGF10"
"185",27006,2322,707,"FGF22","FLT3"
"186",27006,2264,859,"FGF22","FGFR4"
"187",27006,8074,955,"FGF22","FGF23"
"188",27006,5159,800,"FGF22","PDGFRB"
"189",27006,2260,903,"FGF22","FGFR1"
"190",27006,2246,913,"FGF22","FGF1"
"191",27006,2261,859,"FGF22","FGFR3"
"192",27006,2324,766,"FGF22","FLT4"
"193",27006,5595,938,"FGF22","MAPK3"
"194",27006,3845,910,"FGF22","KRAS"
"195",27006,2252,906,"FGF22","FGF7"
"196",27006,5335,901,"FGF22","PLCG1"
"197",27006,4893,909,"FGF22","NRAS"
"198",27006,5296,901,"FGF22","PIK3R2"
"199",27006,2254,906,"FGF22","FGF9"
"200",27006,5594,923,"FGF22","MAPK1"
"201",27006,5295,900,"FGF22","PIK3R1"
"202",27006,10817,904,"FGF22","FRS3"
"203",5594,9965,953,"MAPK1","FGF19"
"204",5594,6714,963,"MAPK1","SRC"
"205",5594,5580,961,"MAPK1","PRKCD"
"206",5594,7124,836,"MAPK1","TNF"
"207",5594,1956,965,"MAPK1","EGFR"
"208",5594,5604,991,"MAPK1","MAP2K1"
"209",5594,3553,794,"MAPK1","IL1B"
"210",5594,3082,952,"MAPK1","HGF"
"211",5594,10818,963,"MAPK1","FRS2"
"212",5594,2247,974,"MAPK1","FGF2"
"213",5594,6198,961,"MAPK1","RPS6KB1"
"214",5594,2248,935,"MAPK1","FGF3"
"215",5594,3630,746,"MAPK1","INS"
"216",5594,6654,979,"MAPK1","SOS1"
"217",5594,4088,986,"MAPK1","SMAD3"
"218",5594,152831,926,"MAPK1","KLB"
"219",5594,598,977,"MAPK1","BCL2L1"
"220",5594,5921,944,"MAPK1","RASA1"
"221",5594,2099,971,"MAPK1","ESR1"
"222",5594,5747,940,"MAPK1","PTK2"
"223",5594,3570,929,"MAPK1","IL6R"
"224",5594,3586,777,"MAPK1","IL10"
"225",5594,2549,958,"MAPK1","GAB1"
"226",5594,5781,987,"MAPK1","PTPN11"
"227",5594,4233,929,"MAPK1","MET"
"228",5594,2249,946,"MAPK1","FGF4"
"229",5594,4846,726,"MAPK1","NOS3"
"230",5594,3480,934,"MAPK1","IGF1R"
"231",5594,5777,889,"MAPK1","PTPN6"
"232",5594,4313,746,"MAPK1","MMP2"
"233",5594,1432,889,"MAPK1","MAPK14"
"234",5594,6772,972,"MAPK1","STAT1"
"235",5594,6777,981,"MAPK1","STAT5B"
"236",5594,3084,930,"MAPK1","NRG1"
"237",5594,4067,959,"MAPK1","LYN"
"238",5594,5770,760,"MAPK1","PTPN1"
"239",5594,2308,932,"MAPK1","FOXO1"
"240",5594,2255,931,"MAPK1","FGF10"
"241",5594,3717,934,"MAPK1","JAK2"
"242",5594,2885,988,"MAPK1","GRB2"
"243",5594,7409,791,"MAPK1","VAV1"
"244",5594,8074,920,"MAPK1","FGF23"
"245",5594,6347,795,"MAPK1","CCL2"
"246",5594,2246,937,"MAPK1","FGF1"
"247",5594,3560,905,"MAPK1","IL2RB"
"248",5594,5743,753,"MAPK1","PTGS2"
"249",5594,2252,937,"MAPK1","FGF7"
"250",5594,3932,958,"MAPK1","LCK"
"251",5594,4609,986,"MAPK1","MYC"
"252",5594,4803,973,"MAPK1","NGF"
"253",5594,4893,977,"MAPK1","NRAS"
"254",5594,604,731,"MAPK1","BCL6"
"255",5594,3561,919,"MAPK1","IL2RG"
"256",5594,4318,799,"MAPK1","MMP9"
"257",5594,2335,965,"MAPK1","FN1"
"258",5594,3725,996,"MAPK1","JUN"
"259",5594,8061,788,"MAPK1","FOSL1"
"260",5594,596,945,"MAPK1","BCL2"
"261",5594,5599,947,"MAPK1","MAPK8"
"262",5594,3718,929,"MAPK1","JAK3"
"263",5594,2263,926,"MAPK1","FGFR2"
"264",5594,3558,954,"MAPK1","IL2"
"265",5594,26281,932,"MAPK1","FGF20"
"266",5594,4914,929,"MAPK1","NTRK1"
"267",5594,2353,992,"MAPK1","FOS"
"268",5594,2251,935,"MAPK1","FGF6"
"269",5594,8660,933,"MAPK1","IRS2"
"270",5594,7157,985,"MAPK1","TP53"
"271",5594,1385,983,"MAPK1","CREB1"
"272",5594,3479,962,"MAPK1","IGF1"
"273",5594,8823,931,"MAPK1","FGF16"
"274",5594,5728,839,"MAPK1","PTEN"
"275",5594,6464,980,"MAPK1","SHC1"
"276",5594,5590,899,"MAPK1","PRKCZ"
"277",5594,387,984,"MAPK1","RHOA"
"278",5594,8817,935,"MAPK1","FGF18"
"279",5594,3559,920,"MAPK1","IL2RA"
"280",5594,999,973,"MAPK1","CDH1"
"281",5594,3320,979,"MAPK1","HSP90AA1"
"282",5594,1950,854,"MAPK1","EGF"
"283",5594,3576,842,"MAPK1","CXCL8"
"284",5594,836,814,"MAPK1","CASP3"
"285",5594,5829,987,"MAPK1","PXN"
"286",5594,3383,723,"MAPK1","ICAM1"
"287",5594,6776,986,"MAPK1","STAT5A"
"288",5594,595,887,"MAPK1","CCND1"
"289",5594,7099,703,"MAPK1","TLR4"
"290",5594,3716,939,"MAPK1","JAK1"
"291",5594,3667,974,"MAPK1","IRS1"
"292",5594,4312,717,"MAPK1","MMP1"
"293",5594,2475,800,"MAPK1","MTOR"
"294",5594,3265,984,"MAPK1","HRAS"
"295",5594,1399,836,"MAPK1","CRKL"
"296",5594,1906,970,"MAPK1","EDN1"
"297",5594,3162,779,"MAPK1","HMOX1"
"298",5594,207,905,"MAPK1","AKT1"
"299",5594,2597,868,"MAPK1","GAPDH"
"300",5594,5879,949,"MAPK1","RAC1"
"301",5594,6774,989,"MAPK1","STAT3"
"302",5594,2264,923,"MAPK1","FGFR4"
"303",5594,627,750,"MAPK1","BDNF"
"304",5594,2066,935,"MAPK1","ERBB4"
"305",5594,2261,925,"MAPK1","FGFR3"
"306",5594,5970,952,"MAPK1","RELA"
"307",5594,9846,973,"MAPK1","GAB2"
"308",5594,5595,987,"MAPK1","MAPK3"
"309",5594,27006,923,"MAPK1","FGF22"
"310",5594,367,782,"MAPK1","AR"
"311",5594,1437,952,"MAPK1","CSF2"
"312",5594,3845,985,"MAPK1","KRAS"
"313",5594,995,827,"MAPK1","CDC25C"
"314",5594,3569,982,"MAPK1","IL6"
"315",5594,2534,941,"MAPK1","FYN"
"316",5594,1445,936,"MAPK1","CSK"
"317",5594,3091,916,"MAPK1","HIF1A"
"318",5594,7525,926,"MAPK1","YES1"
"319",5594,2254,933,"MAPK1","FGF9"
"320",5594,5906,942,"MAPK1","RAP1A"
"321",3162,3725,977,"HMOX1","JUN"
"322",3162,5599,800,"HMOX1","MAPK8"
"323",3162,2353,946,"HMOX1","FOS"
"324",3162,7124,816,"HMOX1","TNF"
"325",3162,7157,766,"HMOX1","TP53"
"326",3162,1385,946,"HMOX1","CREB1"
"327",3162,3553,819,"HMOX1","IL1B"
"328",3162,3630,822,"HMOX1","INS"
"329",3162,3565,945,"HMOX1","IL4"
"330",3162,3576,784,"HMOX1","CXCL8"
"331",3162,836,726,"HMOX1","CASP3"
"332",3162,3586,868,"HMOX1","IL10"
"333",3162,4846,855,"HMOX1","NOS3"
"334",3162,7099,800,"HMOX1","TLR4"
"335",3162,1432,972,"HMOX1","MAPK14"
"336",3162,1906,738,"HMOX1","EDN1"
"337",3162,207,889,"HMOX1","AKT1"
"338",3162,6774,714,"HMOX1","STAT3"
"339",3162,6347,821,"HMOX1","CCL2"
"340",3162,2056,738,"HMOX1","EPO"
"341",3162,5743,834,"HMOX1","PTGS2"
"342",3162,7422,867,"HMOX1","VEGFA"
"343",3162,3569,847,"HMOX1","IL6"
"344",3162,4803,727,"HMOX1","NGF"
"345",3162,3091,730,"HMOX1","HIF1A"
"346",3162,3596,939,"HMOX1","IL13"
"347",3162,5594,779,"HMOX1","MAPK1"
"348",3162,4318,759,"HMOX1","MMP9"
"349",3162,5468,735,"HMOX1","PPARG"
"350",3560,6850,957,"IL2RB","SYK"
"351",3560,1432,900,"IL2RB","MAPK14"
"352",3560,3716,963,"IL2RB","JAK1"
"353",3560,3667,900,"IL2RB","IRS1"
"354",3560,6772,950,"IL2RB","STAT1"
"355",3560,5599,915,"IL2RB","MAPK8"
"356",3560,6777,970,"IL2RB","STAT5B"
"357",3560,5601,917,"IL2RB","MAPK9"
"358",3560,3567,939,"IL2RB","IL5"
"359",3560,3265,915,"IL2RB","HRAS"
"360",3560,3718,970,"IL2RB","JAK3"
"361",3560,1399,900,"IL2RB","CRKL"
"362",3560,3558,996,"IL2RB","IL2"
"363",3560,8660,900,"IL2RB","IRS2"
"364",3560,3635,940,"IL2RB","INPP5D"
"365",3560,207,926,"IL2RB","AKT1"
"366",3560,3717,949,"IL2RB","JAK2"
"367",3560,6774,953,"IL2RB","STAT3"
"368",3560,2885,941,"IL2RB","GRB2"
"369",3560,867,904,"IL2RB","CBL"
"370",3560,3002,817,"IL2RB","GZMB"
"371",3560,5604,903,"IL2RB","MAP2K1"
"372",3560,3568,933,"IL2RB","IL5RA"
"373",3560,6464,947,"IL2RB","SHC1"
"374",3560,5590,918,"IL2RB","PRKCZ"
"375",3560,3578,774,"IL2RB","IL9"
"376",3560,5293,916,"IL2RB","PIK3CD"
"377",3560,9846,900,"IL2RB","GAB2"
"378",3560,387,921,"IL2RB","RHOA"
"379",3560,5595,910,"IL2RB","MAPK3"
"380",3560,1439,965,"IL2RB","CSF2RB"
"381",3560,6654,900,"IL2RB","SOS1"
"382",3560,1437,940,"IL2RB","CSF2"
"383",3560,3559,996,"IL2RB","IL2RA"
"384",3560,3845,905,"IL2RB","KRAS"
"385",3560,3932,970,"IL2RB","LCK"
"386",3560,3600,998,"IL2RB","IL15"
"387",3560,3458,821,"IL2RB","IFNG"
"388",3560,3569,760,"IL2RB","IL6"
"389",3560,5291,905,"IL2RB","PIK3CB"
"390",3560,4893,900,"IL2RB","NRAS"
"391",3560,3561,998,"IL2RB","IL2RG"
"392",3560,1438,937,"IL2RB","CSF2RA"
"393",3560,3565,828,"IL2RB","IL4"
"394",3560,5296,900,"IL2RB","PIK3R2"
"395",3560,2534,951,"IL2RB","FYN"
"396",3560,5290,904,"IL2RB","PIK3CA"
"397",3560,3574,919,"IL2RB","IL7"
"398",3560,3586,820,"IL2RB","IL10"
"399",3560,5781,914,"IL2RB","PTPN11"
"400",3560,3596,765,"IL2RB","IL13"
"401",3560,3562,926,"IL2RB","IL3"
"402",3560,2185,912,"IL2RB","PTK2B"
"403",3560,5594,905,"IL2RB","MAPK1"
"404",3560,5777,948,"IL2RB","PTPN6"
"405",3560,6776,972,"IL2RB","STAT5A"
"406",3560,8503,900,"IL2RB","PIK3R3"
"407",3560,5295,936,"IL2RB","PIK3R1"
"408",3560,3563,935,"IL2RB","IL3RA"
"409",3560,3636,948,"IL2RB","INPPL1"
"410",3002,3558,888,"GZMB","IL2"
"411",3002,7124,732,"GZMB","TNF"
"412",3002,1385,917,"GZMB","CREB1"
"413",3002,3600,818,"GZMB","IL15"
"414",3002,3458,816,"GZMB","IFNG"
"415",3002,836,976,"GZMB","CASP3"
"416",3002,3586,818,"GZMB","IL10"
"417",3002,2033,907,"GZMB","EP300"
"418",3002,2260,907,"GZMB","FGFR1"
"419",3002,3560,817,"GZMB","IL2RB"
"420",3002,3569,771,"GZMB","IL6"
"421",3002,604,720,"GZMB","BCL6"
"422",4313,5599,813,"MMP2","MAPK8"
"423",4313,3481,945,"MMP2","IGF2"
"424",4313,6714,974,"MMP2","SRC"
"425",4313,7124,798,"MMP2","TNF"
"426",4313,7157,802,"MMP2","TP53"
"427",4313,3479,960,"MMP2","IGF1"
"428",4313,3553,872,"MMP2","IL1B"
"429",4313,2247,825,"MMP2","FGF2"
"430",4313,1839,944,"MMP2","HBEGF"
"431",4313,999,761,"MMP2","CDH1"
"432",4313,3320,921,"MMP2","HSP90AA1"
"433",4313,1950,798,"MMP2","EGF"
"434",4313,7010,950,"MMP2","TEK"
"435",4313,3576,800,"MMP2","CXCL8"
"436",4313,6778,921,"MMP2","STAT6"
"437",4313,3383,743,"MMP2","ICAM1"
"438",4313,595,709,"MMP2","CCND1"
"439",4313,4312,922,"MMP2","MMP1"
"440",4313,1906,946,"MMP2","EDN1"
"441",4313,207,836,"MMP2","AKT1"
"442",4313,2064,758,"MMP2","ERBB2"
"443",4313,6774,979,"MMP2","STAT3"
"444",4313,284,949,"MMP2","ANGPT1"
"445",4313,6347,825,"MMP2","CCL2"
"446",4313,5595,702,"MMP2","MAPK3"
"447",4313,5743,704,"MMP2","PTGS2"
"448",4313,7422,979,"MMP2","VEGFA"
"449",4313,4609,734,"MMP2","MYC"
"450",4313,3569,823,"MMP2","IL6"
"451",4313,3091,721,"MMP2","HIF1A"
"452",4313,5594,746,"MMP2","MAPK1"
"453",4313,4318,908,"MMP2","MMP9"
"454",4313,3952,724,"MMP2","LEP"
"455",4313,4316,910,"MMP2","MMP7"
"456",1445,6714,956,"CSK","SRC"
"457",1445,9564,957,"CSK","BCAR1"
"458",1445,867,713,"CSK","CBL"
"459",1445,1956,978,"CSK","EGFR"
"460",1445,5604,939,"CSK","MAP2K1"
"461",1445,3791,913,"CSK","KDR"
"462",1445,2321,908,"CSK","FLT1"
"463",1445,5921,951,"CSK","RASA1"
"464",1445,5747,950,"CSK","PTK2"
"465",1445,5290,920,"CSK","PIK3CA"
"466",1445,2549,935,"CSK","GAB1"
"467",1445,5781,945,"CSK","PTPN11"
"468",1445,5777,931,"CSK","PTPN6"
"469",1445,4067,946,"CSK","LYN"
"470",1445,3055,946,"CSK","HCK"
"471",1445,2324,907,"CSK","FLT4"
"472",1445,1796,975,"CSK","DOK1"
"473",1445,3932,946,"CSK","LCK"
"474",1445,4893,929,"CSK","NRAS"
"475",1445,604,909,"CSK","BCL6"
"476",1445,5594,936,"CSK","MAPK1"
"477",1445,2065,779,"CSK","ERBB3"
"478",1445,2335,957,"CSK","FN1"
"479",1445,640,924,"CSK","BLK"
"480",1445,6464,962,"CSK","SHC1"
"481",1445,387,951,"CSK","RHOA"
"482",1445,857,837,"CSK","CAV1"
"483",1445,1950,951,"CSK","EGF"
"484",1445,5829,978,"CSK","PXN"
"485",1445,3265,941,"CSK","HRAS"
"486",1445,1399,935,"CSK","CRKL"
"487",1445,973,907,"CSK","CD79A"
"488",1445,5595,939,"CSK","MAPK3"
"489",1445,974,914,"CSK","CD79B"
"490",1445,7422,937,"CSK","VEGFA"
"491",1445,3845,936,"CSK","KRAS"
"492",1445,2534,954,"CSK","FYN"
"493",1445,7525,924,"CSK","YES1"
