"","gene_id1","gene_id2","gene_symbol1","gene_symbol2"
"143",7415,22948,"VCP","CCT5"
"144",7415,3309,"VCP","HSPA5"
"145",7415,9532,"VCP","BAG2"
"146",7415,5516,"VCP","PPP2CB"
"147",7415,7203,"VCP","CCT3"
"148",7415,908,"VCP","CCT6A"
"149",7415,4843,"VCP","NOS2"
"150",7415,11200,"VCP","CHEK2"
"151",7415,7415,"VCP","VCP"
"152",55917,85369,"CTTNBP2NL","STRIP1"
"153",55917,25843,"CTTNBP2NL","MOB4"
"154",55917,6801,"CTTNBP2NL","STRN"
"155",10574,6950,"CCT7","TCP1"
"156",10574,908,"CCT7","CCT6A"
"157",10574,92342,"CCT7","METTL18"
"158",5894,5562,"RAF1","PRKAA1"
"159",472,472,"ATM","ATM"
"160",472,5524,"ATM","PTPA"
"161",5894,3312,"RAF1","HSPA8"
"162",6801,10494,"STRN","STK25"
"163",5894,7203,"RAF1","CCT3"
"164",6801,51765,"STRN","STK26"
"165",10383,790,"TUBB4B","CAD"
"166",3476,908,"IGBP1","CCT6A"
"167",3476,22948,"IGBP1","CCT5"
"168",10383,5261,"TUBB4B","PHKG2"
"169",10383,1019,"TUBB4B","CDK4"
"170",10383,10494,"TUBB4B","STK25"
"171",10383,5566,"TUBB4B","PRKACA"
"172",10383,1025,"TUBB4B","CDK9"
"173",10383,1020,"TUBB4B","CDK5"
"174",10383,51765,"TUBB4B","STK26"
"175",10383,6789,"TUBB4B","STK4"
"176",472,472,"ATM","ATM"
"177",9479,9479,"MAPK8IP1","MAPK8IP1"
"178",4843,3320,"NOS2","HSP90AA1"
"179",117159,112858,"DCD","TP53RK"
"180",117159,1454,"DCD","CSNK1E"
"181",117159,5567,"DCD","PRKACB"
"182",117159,8428,"DCD","STK24"
"183",6232,5562,"RPS27","PRKAA1"
"184",4744,10494,"NEFH","STK25"
"185",4744,6788,"NEFH","STK3"
"186",6468,6950,"FBXW4","TCP1"
"187",5521,22948,"PPP2R2B","CCT5"
"188",3312,4215,"HSPA8","MAP3K3"
"189",5894,7203,"RAF1","CCT3"
"190",55917,57464,"CTTNBP2NL","STRIP2"
"191",55917,29888,"CTTNBP2NL","STRN4"
"192",6801,25843,"STRN","MOB4"
"193",6801,5515,"STRN","PPP2CA"
"194",6232,6232,"RPS27","RPS27"
"195",6230,10494,"RPS25","STK25"
"196",3313,5261,"HSPA9","PHKG2"
"197",3313,10494,"HSPA9","STK25"
"198",3313,55781,"HSPA9","RIOK2"
"199",6801,5519,"STRN","PPP2R1B"
"200",5521,5528,"PPP2R2B","PPP2R5D"
"201",5894,5521,"RAF1","PPP2R2B"
"202",7871,6788,"SLMAP","STK3"
"203",1445,1445,"CSK","CSK"
"204",7871,8428,"SLMAP","STK24"
"205",7871,25843,"SLMAP","MOB4"
"206",7871,29966,"SLMAP","STRN3"
"207",1445,6232,"CSK","RPS27"
"208",1445,3313,"CSK","HSPA9"
"209",1445,8471,"CSK","IRS4"
"210",1445,22948,"CSK","CCT5"
"211",1445,1020,"CSK","CDK5"
"212",4843,3313,"NOS2","HSPA9"
"213",6232,5524,"RPS27","PTPA"
"214",56455,29966,NA,"STRN3"
"215",6801,26127,"STRN","FGFR1OP2"
"216",6801,10576,"STRN","CCT2"
"217",5524,7203,"PTPA","CCT3"
"218",5524,29966,"PTPA","STRN3"
"219",7530,6188,NA,"RPS3"
"220",3312,5566,"HSPA8","PRKACA"
"221",3312,8428,"HSPA8","STK24"
"222",5518,5528,"PPP2R1A","PPP2R5D"
"223",7530,7415,NA,"VCP"
"224",5518,51765,"PPP2R1A","STK26"
"225",7530,1452,NA,"CSNK1A1"
"226",7530,10014,NA,"HDAC5"
"227",5518,83992,"PPP2R1A","CTTNBP2"
"228",5518,55844,"PPP2R1A","PPP2R2D"
"229",5518,25843,"PPP2R1A","MOB4"
"230",5518,5522,"PPP2R1A","PPP2R2C"
"231",5518,26127,"PPP2R1A","FGFR1OP2"
"232",5518,56455,"PPP2R1A",NA
"233",5518,68549,"PPP2R1A",NA
"234",7530,203068,NA,"TUBB"
"235",5894,5518,"RAF1","PPP2R1A"
"236",5518,207,"PPP2R1A","AKT1"
"237",5518,4215,"PPP2R1A","MAP3K3"
"238",5518,8428,"PPP2R1A","STK24"
"239",7530,10574,NA,"CCT7"
"240",7530,5591,NA,"PRKDC"
"241",7530,10014,NA,"HDAC5"
"242",5518,5528,"PPP2R1A","PPP2R5D"
"243",5518,6097,"PPP2R1A","RORC"
"244",1019,4744,"CDK4","NEFH"
"245",1019,7203,"CDK4","CCT3"
"246",6230,1452,"RPS25","CSNK1A1"
"247",151648,151648,"SGO1","SGO1"
"248",7530,7530,NA,NA
"249",5516,7203,"PPP2CB","CCT3"
"250",5516,6950,"PPP2CB","TCP1"
"251",7530,10576,NA,"CCT2"
"252",7530,5261,NA,"PHKG2"
"253",7530,6222,NA,"RPS18"
"254",6230,5567,"RPS25","PRKACB"
"255",1445,117159,"CSK","DCD"
"256",7530,117159,NA,"DCD"
"257",5516,7871,"PPP2CB","SLMAP"
"258",5516,5527,"PPP2CB","PPP2R5C"
"259",7530,3303,NA,"HSPA1A"
"260",5516,5521,"PPP2CB","PPP2R2B"
"261",5516,29888,"PPP2CB","STRN4"
"262",7530,6230,NA,"RPS25"
"263",1445,3320,"CSK","HSP90AA1"
"264",1445,1020,"CSK","CDK5"
"265",9479,9479,"MAPK8IP1","MAPK8IP1"
"266",5516,10494,"PPP2CB","STK25"
"267",5516,8428,"PPP2CB","STK24"
"268",5516,10574,"PPP2CB","CCT7"
"269",5516,68549,"PPP2CB",NA
"270",7530,10575,NA,"CCT4"
"271",1445,6222,"CSK","RPS18"
"272",7530,1454,NA,"CSNK1E"
"273",5516,6188,"PPP2CB","RPS3"
"274",6788,6788,"STK3","STK3"
"275",3312,155871,"HSPA8",NA
"276",4843,10574,"NOS2","CCT7"
"277",4843,908,"NOS2","CCT6A"
"278",4843,6222,"NOS2","RPS18"
"279",6788,22948,"STK3","CCT5"
"280",3320,3312,"HSP90AA1","HSPA8"
"281",25843,908,"MOB4","CCT6A"
"282",5522,155871,"PPP2R2C",NA
"283",6191,3312,"RPS4X","HSPA8"
"284",6191,3320,"RPS4X","HSP90AA1"
"285",6191,10494,"RPS4X","STK25"
"286",6191,1019,"RPS4X","CDK4"
"287",6191,5566,"RPS4X","PRKACA"
"288",6191,112858,"RPS4X","TP53RK"
"289",6191,3611,"RPS4X","ILK"
"290",55844,22948,"PPP2R2D","CCT5"
"291",151648,5528,"SGO1","PPP2R5D"
"292",8607,5591,"RUVBL1","PRKDC"
"293",8607,10494,"RUVBL1","STK25"
"294",8607,6468,"RUVBL1","FBXW4"
"295",8607,155871,"RUVBL1",NA
"296",8607,10014,"RUVBL1","HDAC5"
"297",8607,5521,"RUVBL1","PPP2R2B"
"298",3082,3082,"HGF","HGF"
"299",7203,10575,"CCT3","CCT4"
"300",7203,10574,"CCT3","CCT7"
"301",5527,11200,"PPP2R5C","CHEK2"
"302",5515,5526,"PPP2CA","PPP2R5B"
"303",5515,4215,"PPP2CA","MAP3K3"
"304",5515,55844,"PPP2CA","PPP2R2D"
"305",5515,55781,"PPP2CA","RIOK2"
"306",5515,25843,"PPP2CA","MOB4"
"307",5515,5529,"PPP2CA","PPP2R5E"
"308",5515,22948,"PPP2CA","CCT5"
"309",5515,5525,"PPP2CA","PPP2R5A"
"310",5515,5522,"PPP2CA","PPP2R2C"
"311",1019,3320,"CDK4","HSP90AA1"
"312",80143,10494,"SIKE1","STK25"
