"","gene_id1","gene_id2","gene_symbol1","gene_symbol2"
"1",5931,8819,"RBBP7","SAP30"
"2",5558,5422,"PRIM2","POLA1"
"3",5558,23028,"PRIM2","KDM1A"
"4",6613,27043,"SUMO2","PELP1"
"5",5599,5591,"MAPK8","PRKDC"
"6",9063,2100,"PIAS2","ESR2"
"7",9063,5241,"PIAS2","PGR"
"8",672,1869,"BRCA1","E2F1"
"9",672,1874,"BRCA1","E2F4"
"10",1460,1786,"CSNK2B","DNMT1"
"11",7157,6878,"TP53","TAF6"
"12",57697,7156,"FANCM","TOP3A"
"13",6720,6720,"SREBF1","SREBF1"
"14",6720,7341,"SREBF1","SUMO1"
"15",6720,5594,"SREBF1","MAPK1"
"16",6720,6604,"SREBF1","SMARCD3"
"17",2113,2908,"ETS1","NR3C1"
"18",6720,7157,"SREBF1","TP53"
"19",6720,4000,"SREBF1","LMNA"
"20",2113,7329,"ETS1","UBE2I"
"21",2113,4088,"ETS1","SMAD3"
"22",672,83990,"BRCA1","BRIP1"
"23",1107,7341,"CHD3","SUMO1"
"24",9555,9555,"H2AFY","H2AFY"
"25",9555,8350,"H2AFY","HIST1H3A"
"26",6613,9063,"SUMO2","PIAS2"
"27",6613,5371,"SUMO2","PML"
"28",7329,4089,"UBE2I","SMAD4"
"29",8350,23468,"HIST1H3A","CBX5"
"30",8350,23028,"HIST1H3A","KDM1A"
"31",8350,1107,"HIST1H3A","CHD3"
"32",8350,7913,"HIST1H3A","DEK"
"33",8350,1387,"HIST1H3A","CREBBP"
"34",8350,55193,"HIST1H3A","PBRM1"
"35",8350,6597,"HIST1H3A","SMARCA4"
"36",7329,9063,"UBE2I","PIAS2"
"37",7329,7329,"UBE2I","UBE2I"
"38",64421,4361,"DCLRE1C","MRE11"
"39",6613,7913,"SUMO2","DEK"
"40",7329,1029,"UBE2I","CDKN2A"
"41",6670,1869,"SP3","E2F1"
"42",6670,5970,"SP3","RELA"
"43",5594,5925,"MAPK1","RB1"
"44",672,11200,"BRCA1","CHEK2"
"45",7376,80010,"NR1H2","RMI1"
"46",5241,5241,"PGR","PGR"
"47",7329,51720,"UBE2I","UIMC1"
"48",8243,5430,"SMC1A","POLR2A"
"49",8243,1050,"SMC1A","CEBPA"
"50",8243,1024,"SMC1A","CDK8"
"51",3621,1029,"ING1","CDKN2A"
"52",1107,23028,"CHD3","KDM1A"
"53",7329,6872,"UBE2I","TAF1"
"54",64421,5591,"DCLRE1C","PRKDC"
"55",7329,6720,"UBE2I","SREBF1"
"56",7329,2113,"UBE2I","ETS1"
"57",7329,5888,"UBE2I","RAD51"
"58",10320,6597,"IKZF1","SMARCA4"
"59",10320,7329,"IKZF1","UBE2I"
"60",3172,3172,"HNF4A","HNF4A"
"61",7329,1660,"UBE2I","DHX9"
"62",7329,1487,"UBE2I","CTBP1"
"63",7329,10014,"UBE2I","HDAC5"
"64",10524,7161,"KAT5","TP73"
"65",10524,4851,"KAT5","NOTCH1"
"66",10524,472,"KAT5","ATM"
"67",10524,5970,"KAT5","RELA"
"68",10524,4609,"KAT5","MYC"
"69",10524,1385,"KAT5","CREB1"
"70",10524,8295,"KAT5","TRRAP"
"71",10524,1869,"KAT5","E2F1"
"72",10524,1786,"KAT5","DNMT1"
"73",7329,10320,"UBE2I","IKZF1"
"74",2908,8204,"NR3C1","NRIP1"
"75",5241,3320,"PGR","HSP90AA1"
"76",5599,3725,"MAPK8","JUN"
"77",5241,8202,"PGR","NCOA3"
"78",7329,201254,"UBE2I","CENPX"
"79",10856,60,"RUVBL2","ACTB"
"80",6613,23028,"SUMO2","KDM1A"
"81",6613,5931,"SUMO2","RBBP7"
"82",5558,5983,"PRIM2","RFC3"
"83",1457,4609,"CSNK2A1","MYC"
"84",1457,7157,"CSNK2A1","TP53"
"85",1457,3725,"CSNK2A1","JUN"
"86",1457,3320,"CSNK2A1","HSP90AA1"
"87",1457,8554,"CSNK2A1","PIAS1"
"88",1457,1019,"CSNK2A1","CDK4"
"89",1457,1387,"CSNK2A1","CREBBP"
"90",1457,6872,"CSNK2A1","TAF1"
"91",1457,10014,"CSNK2A1","HDAC5"
"92",1457,1489531,"CSNK2A1",NA
"93",1457,1457,"CSNK2A1","CSNK2A1"
"94",1457,1499,"CSNK2A1","CTNNB1"
"95",1457,3320,"CSNK2A1","HSP90AA1"
"96",672,6597,"BRCA1","SMARCA4"
"97",1457,5371,"CSNK2A1","PML"
"98",1457,6714,"CSNK2A1","SRC"
"99",1457,1489079,"CSNK2A1",NA
"100",1457,84950,"CSNK2A1","PRPF38A"
"101",1457,3320,"CSNK2A1","HSP90AA1"
"102",1457,4171,"CSNK2A1","MCM2"
"103",1457,3065,"CSNK2A1","HDAC1"
"104",1457,7153,"CSNK2A1","TOP2A"
"105",1457,1387,"CSNK2A1","CREBBP"
"106",3172,2308,"HNF4A","FOXO1"
"107",1457,1386,"CSNK2A1","ATF2"
"108",1457,2353,"CSNK2A1","FOS"
"109",4000,6720,"LMNA","SREBF1"
"110",6720,3320,"SREBF1","HSP90AA1"
"111",4000,9656,"LMNA","MDC1"
"112",4000,4361,"LMNA","MRE11"
"113",4000,5925,"LMNA","RB1"
"114",4000,3621,"LMNA","ING1"
"115",4000,5928,"LMNA","RBBP4"
"116",6720,6613,"SREBF1","SUMO2"
"117",4000,5591,"LMNA","PRKDC"
"118",6774,6667,"STAT3","SP1"
"119",6774,23411,"STAT3","SIRT1"
"120",6774,80854,"STAT3","SETD7"
"121",6774,860,"STAT3","RUNX2"
"122",6774,3320,"STAT3","HSP90AA1"
"123",6774,5371,"STAT3","PML"
"124",6774,5925,"STAT3","RB1"
"125",10856,602,"RUVBL2","BCL3"
"126",8243,5981,"SMC1A","RFC1"
"127",10856,7341,"RUVBL2","SUMO1"
"128",1050,467,"CEBPA","ATF3"
"129",10856,7156,"RUVBL2","TOP3A"
"130",1050,1017,"CEBPA","CDK2"
"131",1050,3725,"CEBPA","JUN"
"132",10856,4609,"RUVBL2","MYC"
"133",5241,8805,"PGR","TRIM24"
"134",10856,5985,"RUVBL2","RFC5"
"135",10856,155871,"RUVBL2",NA
"136",1108,6605,"CHD4","SMARCE1"
"137",641,4292,"BLM","MLH1"
"138",23411,3280,"SIRT1","HES1"
"139",7157,641,"TP53","BLM"
"140",641,7316,"BLM","UBC"
"141",641,4361,"BLM","MRE11"
"142",641,6613,"BLM","SUMO2"
"143",641,3014,"BLM","H2AFX"
"144",8243,8467,"SMC1A","SMARCA5"
"145",8243,472,"SMC1A","ATM"
"146",641,83990,"BLM","BRIP1"
"147",6613,3164,"SUMO2","NR4A1"
"148",6613,55193,"SUMO2","PBRM1"
"149",641,6612,"BLM","SUMO3"
"150",23411,5970,"SIRT1","RELA"
"151",5599,1499,"MAPK8","CTNNB1"
"152",672,4361,"BRCA1","MRE11"
"153",672,1487,"BRCA1","CTBP1"
"154",641,2189,"BLM","FANCG"
"155",641,100526739,"BLM","CENPS-CORT"
"156",641,6119,"BLM","RPA3"
"157",3172,10111,"HNF4A","RAD50"
"158",641,21975,"BLM",NA
"159",3172,5925,"HNF4A","RB1"
"160",3172,6908,"HNF4A","TBP"
"161",1108,10320,"CHD4","IKZF1"
"162",3172,5594,"HNF4A","MAPK1"
