"","gene_id1","gene_id2","gene_symbol1","gene_symbol2"
"146",4193,201254,"MDM2","CENPX"
"147",4193,9025,"MDM2","RNF8"
"148",4193,1487,"MDM2","CTBP1"
"149",4193,4193,"MDM2","MDM2"
"150",4193,11200,"MDM2","CHEK2"
"151",4193,4691,"MDM2","NCL"
"152",4193,5970,"MDM2","RELA"
"153",4193,8850,"MDM2","KAT2B"
"154",23028,79648,"KDM1A","MCPH1"
"155",6597,672,"SMARCA4","BRCA1"
"156",6597,6598,"SMARCA4","SMARCB1"
"157",23028,7161,"KDM1A","TP73"
"158",23028,7157,"KDM1A","TP53"
"159",5371,5371,"PML","PML"
"160",6597,2175,"SMARCA4","FANCA"
"161",5371,4193,"PML","MDM2"
"162",5371,6839,"PML","SUV39H1"
"163",5371,11073,"PML","TOPBP1"
"164",5371,6774,"PML","STAT3"
"165",5371,25942,"PML","SIN3A"
"166",860,3725,"RUNX2","JUN"
"167",860,5925,"RUNX2","RB1"
"168",860,4088,"RUNX2","SMAD3"
"169",8243,472,"SMC1A","ATM"
"170",8243,641,"SMC1A","BLM"
"171",2122,1487,"MECOM","CTBP1"
"172",2122,1387,"MECOM","CREBBP"
"173",2122,4088,"MECOM","SMAD3"
"174",2122,23411,"MECOM","SIRT1"
"175",83990,4000,"BRIP1","LMNA"
"176",55120,100526739,"FANCL","CENPS-CORT"
"177",55120,55120,"FANCL","FANCL"
"178",472,9656,"ATM","MDC1"
"179",472,672,"ATM","BRCA1"
"180",472,1111,"ATM","CHEK1"
"181",472,11200,"ATM","CHEK2"
"182",472,4292,"ATM","MLH1"
"183",472,5888,"ATM","RAD51"
"184",472,6598,"ATM","SMARCB1"
"185",472,79648,"ATM","MCPH1"
"186",7157,7157,"TP53","TP53"
"187",4436,2956,"MSH2","MSH6"
"188",23028,23468,"KDM1A","CBX5"
"189",7157,23411,"TP53","SIRT1"
"190",7157,23411,"TP53","SIRT1"
"191",4436,1017,"MSH2","CDK2"
"192",4436,3364,"MSH2","HUS1"
"193",4436,5395,"MSH2","PMS2"
"194",4436,641,"MSH2","BLM"
"195",4436,10111,"MSH2","RAD50"
"196",4436,9156,"MSH2","EXO1"
"197",4436,6613,"MSH2","SUMO2"
"198",4436,7157,"MSH2","TP53"
"199",2908,9252,"NR3C1","RPS6KA5"
"200",4436,1387,"MSH2","CREBBP"
"201",4436,1026,"MSH2","CDKN1A"
"202",4436,11277,"MSH2","TREX1"
"203",4436,2703458,"MSH2",NA
"204",1786,5925,"DNMT1","RB1"
"205",672,2956,"BRCA1","MSH6"
"206",4436,11200,"MSH2","CHEK2"
"207",4436,3837,"MSH2","KPNB1"
"208",4609,155871,"MYC",NA
"209",4609,1029,"MYC","CDKN2A"
"210",4609,155871,"MYC",NA
"211",4609,672,"MYC","BRCA1"
"212",4609,7157,"MYC","TP53"
"213",4609,5984,"MYC","RFC4"
"214",4609,4609,"MYC","MYC"
"215",4609,5426,"MYC","POLE"
"216",4609,4088,"MYC","SMAD3"
"217",4609,5970,"MYC","RELA"
"218",4609,7528,"MYC","YY1"
"219",4609,53615,"MYC","MBD3"
"220",4609,2099,"MYC","ESR1"
"221",4609,5984,"MYC","RFC4"
"222",4609,6599,"MYC","SMARCC1"
"223",4609,7158,"MYC","TP53BP1"
"224",4609,8841,"MYC","HDAC3"
"225",1786,861,"DNMT1","RUNX1"
"226",861,861,"RUNX1","RUNX1"
"227",861,1050,"RUNX1","CEBPA"
"228",4609,5970,"MYC","RELA"
"229",1786,23028,"DNMT1","KDM1A"
"230",672,84142,"BRCA1","ABRAXAS1"
"231",672,3725,"BRCA1","JUN"
"232",861,6839,"RUNX1","SUV39H1"
"233",57697,80233,"FANCM","FAAP100"
"234",57697,57697,"FANCM","FANCM"
"235",1786,23411,"DNMT1","SIRT1"
"236",1786,1869,"DNMT1","E2F1"
"237",8243,672,"SMC1A","BRCA1"
"238",57697,6117,"FANCM","RPA1"
"239",57697,2176,"FANCM","FANCC"
"240",1786,1111,"DNMT1","CHEK1"
"241",1786,7157,"DNMT1","TP53"
"242",841,1499,"CASP8","CTNNB1"
"243",841,8554,"CASP8","PIAS1"
"244",6597,6597,"SMARCA4","SMARCA4"
"245",841,7341,"CASP8","SUMO1"
"246",5931,1107,"RBBP7","CHD3"
"247",57697,100526739,"FANCM","CENPS-CORT"
"248",57697,201254,"FANCM","CENPX"
"249",861,6598,"RUNX1","SMARCB1"
"250",2908,6597,"NR3C1","SMARCA4"
"251",2908,6599,"NR3C1","SMARCC1"
"252",4172,5984,"MCM3","RFC4"
"253",4172,1017,"MCM3","CDK2"
"254",23411,23411,"SIRT1","SIRT1"
"255",5931,23468,"RBBP7","CBX5"
"256",10524,472,"KAT5","ATM"
"257",1487,5925,"CTBP1","RB1"
"258",1487,1786,"CTBP1","DNMT1"
"259",1487,9612,"CTBP1","NCOR2"
"260",1487,1387,"CTBP1","CREBBP"
"261",1487,23028,"CTBP1","KDM1A"
"262",1487,6304,"CTBP1","SATB1"
"263",1487,1107,"CTBP1","CHD3"
"264",10111,64421,"RAD50","DCLRE1C"
"265",9577,7157,"BABAM2","TP53"
"266",860,3725,"RUNX2","JUN"
"267",3621,7157,"ING1","TP53"
"268",8243,10111,"SMC1A","RAD50"
"269",7157,7150,"TP53","TOP1"
"270",5424,7316,"POLD1","UBC"
"271",5970,8841,"RELA","HDAC3"
"272",5424,4609,"POLD1","MYC"
"273",4437,3364,"MSH3","HUS1"
"274",1107,6886,"CHD3","TAL1"
"275",1107,6304,"CHD3","SATB1"
"276",5424,6613,"POLD1","SUMO2"
"277",3621,8819,"ING1","SAP30"
"278",1026,1017,"CDKN1A","CDK2"
"279",4437,56916,"MSH3","SMARCAD1"
"280",8243,121504,"SMC1A","HIST4H4"
"281",1026,7316,"CDKN1A","UBC"
"282",1026,1050,"CDKN1A","CEBPA"
"283",1026,983,"CDKN1A","CDK1"
"284",1026,3065,"CDKN1A","HDAC1"
"285",1026,890,"CDKN1A","CCNA2"
"286",4437,5893,"MSH3","RAD52"
"287",4437,7156,"MSH3","TOP3A"
"288",1026,983,"CDKN1A","CDK1"
"289",1487,5925,"CTBP1","RB1"
"290",3065,5928,"HDAC1","RBBP4"
"291",580,1107,"BARD1","CHD3"
"292",672,10111,"BRCA1","RAD50"
"293",861,6839,"RUNX1","SUV39H1"
"294",3065,1869,"HDAC1","E2F1"
"295",5424,5981,"POLD1","RFC1"
"296",3065,5970,"HDAC1","RELA"
"297",3065,672,"HDAC1","BRCA1"
"298",3065,1616,"HDAC1","DAXX"
"299",3065,5931,"HDAC1","RBBP7"
"300",3065,1051,"HDAC1","CEBPB"
"301",3065,3091,"HDAC1","HIF1A"
"302",3065,3621,"HDAC1","ING1"
"303",6613,6598,"SUMO2","SMARCB1"
"304",3065,1460,"HDAC1","CSNK2B"
"305",3065,64919,"HDAC1","BCL11B"
"306",22976,9577,"PAXIP1","BABAM2"
"307",22976,51720,"PAXIP1","UIMC1"
"308",3065,5371,"HDAC1","PML"
"309",3065,6598,"HDAC1","SMARCB1"
"310",3065,3364,"HDAC1","HUS1"
"311",3065,6597,"HDAC1","SMARCA4"
"312",3065,23468,"HDAC1","CBX5"
"313",3065,6878,"HDAC1","TAF6"
"314",3065,142,"HDAC1","PARP1"
"315",21975,80010,NA,"RMI1"
"316",3065,6601,"HDAC1","SMARCC2"
"317",3065,1050,"HDAC1","CEBPA"
"318",3065,8350,"HDAC1","HIST1H3A"
"319",3065,4088,"HDAC1","SMAD3"
"320",3065,7161,"HDAC1","TP73"
"321",10524,1111,"KAT5","CHEK1"
"322",3065,5984,"HDAC1","RFC4"
"323",3065,10014,"HDAC1","HDAC5"
"324",3065,10524,"HDAC1","KAT5"
"325",3065,3068,"HDAC1","HDGF"
"326",3065,8841,"HDAC1","HDAC3"
"327",9557,7316,"CHD1L","UBC"
"328",9557,11198,"CHD1L","SUPT16H"
"329",9557,9557,"CHD1L","CHD1L"
"330",10524,1385,"KAT5","CREB1"
"331",3065,5926,"HDAC1","ARID4A"
"332",3065,1107,"HDAC1","CHD3"
"333",7157,155871,"TP53",NA
"334",672,5888,"BRCA1","RAD51"
"335",7157,3066,"TP53","HDAC2"
"336",1616,7341,"DAXX","SUMO1"
"337",2908,6598,"NR3C1","SMARCB1"
"338",672,83990,"BRCA1","BRIP1"
"339",7157,4193,"TP53","MDM2"
"340",580,83990,"BARD1","BRIP1"
"341",672,5888,"BRCA1","RAD51"
