"","gene_id1","gene_id2","gene_symbol1","gene_symbol2","hub_score1","hub_score2","combined_score"
"1",8540,6872,"AGPS","TAF1",0.233244443753815,0.281511246979106,0.25737784536646
"2",367,8648,"AR","NCOA1",0.0678663545115813,0.071597635815048,0.0697319951633146
"3",367,10499,"AR","NCOA2",0.0678663545115813,0.058088621169678,0.0629774878406296
"4",467,7157,"ATF3","TP53",0.0144593137000901,0.363184886503487,0.188822100101789
"5",545,7157,"ATR","TP53",0.203366817842378,0.363184886503487,0.283275852172933
"6",602,8841,"BCL3","HDAC3",0.0115049295648933,0.0642773428124165,0.0378911361886549
"7",604,9612,"BCL6","NCOR2",0.0597374611843807,0.16719178656372,0.113464623874051
"8",672,1387,"BRCA1","CREBBP",0.18543997469286,0.197235696099521,0.19133783539619
"9",672,2033,"BRCA1","EP300",0.18543997469286,0.17720974788311,0.181324861287985
"10",672,5469,"BRCA1","MED1",0.18543997469286,0.960066373869498,0.572753174281179
"11",672,7157,"BRCA1","TP53",0.18543997469286,0.363184886503487,0.274312430598173
"12",904,10499,"CCNT1","NCOA2",0.317892224011082,0.058088621169678,0.18799042259038
"13",1024,9794,"CDK8","MAML1",0.886174325863304,0.0196718545809016,0.452923090222103
"14",1025,5430,"CDK9","POLR2A",0.370122810391004,0.844563445672999,0.607343128032002
"15",1385,1387,"CREB1","CREBBP",0.0238382928045384,0.197235696099521,0.11053699445203
"16",1387,1958,"CREBBP","EGR1",0.197235696099521,0.0174812468302097,0.107358471464865
"17",1387,8202,"CREBBP","NCOA3",0.197235696099521,0.15627336446215,0.176754530280836
"18",1387,5970,"CREBBP","RELA",0.197235696099521,0.0671030596331042,0.132169377866312
"19",1387,6506,"CREBBP","SLC1A2",0.197235696099521,0.019307010075253,0.108271353087387
"20",1387,4088,"CREBBP","SMAD3",0.197235696099521,0.0612609905352094,0.129248343317365
"21",1387,7157,"CREBBP","TP53",0.197235696099521,0.363184886503487,0.280210291301504
"22",9150,5431,"CTDP1","POLR2B",0.164473697990206,0.719017171478711,0.441745434734459
"23",8813,6872,"DPM1","TAF1",0.265419603959483,0.281511246979106,0.273465425469294
"24",1958,2033,"EGR1","EP300",0.0174812468302097,0.17720974788311,0.09734549735666
"25",2033,2099,"EP300","ESR1",0.17720974788311,0.255731414684363,0.216470581283737
"26",2033,9794,"EP300","MAML1",0.17720974788311,0.0196718545809016,0.0984408012320059
"27",2033,4654,"EP300","MYOD1",0.17720974788311,0.020798227753857,0.0990039878184836
"28",2033,8648,"EP300","NCOA1",0.17720974788311,0.071597635815048,0.124403691849079
"29",2033,10499,"EP300","NCOA2",0.17720974788311,0.058088621169678,0.117649184526394
"30",2033,5629,"EP300","PROX1",0.17720974788311,0.00671384279728487,0.0919617953401976
"31",2033,5970,"EP300","RELA",0.17720974788311,0.0671030596331042,0.122156403758107
"32",2033,6506,"EP300","SLC1A2",0.17720974788311,0.019307010075253,0.0982583789791816
"33",2033,4088,"EP300","SMAD3",0.17720974788311,0.0612609905352094,0.11923536920916
"34",2033,6908,"EP300","TBP",0.17720974788311,0.145583722063234,0.161396734973172
"35",2033,7157,"EP300","TP53",0.17720974788311,0.363184886503487,0.270197317193299
"36",2056,3091,"EPO","HIF1A",0.00300000069695365,0.0789410130670711,0.0409705068820124
"37",2071,7157,"ERCC3","TP53",0.10927570121565,0.363184886503487,0.236230293859569
"38",2099,5469,"ESR1","MED1",0.255731414684363,0.960066373869498,0.607898894276931
"39",2099,8648,"ESR1","NCOA1",0.255731414684363,0.071597635815048,0.163664525249705
"40",2099,10499,"ESR1","NCOA2",0.255731414684363,0.058088621169678,0.15691001792702
"41",2099,8202,"ESR1","NCOA3",0.255731414684363,0.15627336446215,0.206002389573257
"42",2099,9611,"ESR1","NCOR1",0.255731414684363,0.222146831463954,0.238939123074159
"43",2099,9612,"ESR1","NCOR2",0.255731414684363,0.16719178656372,0.211461600624042
"44",2099,7157,"ESR1","TP53",0.255731414684363,0.363184886503487,0.309458150593925
"45",2100,8648,"ESR2","NCOA1",0.182253011001832,0.071597635815048,0.12692532340844
"46",2100,23054,"ESR2","NCOA6",0.182253011001832,0.0951408446994313,0.138696927850632
"47",2100,10891,"ESR2","PPARGC1A",0.182253011001832,0.114924239251846,0.148588625126839
"48",2101,8648,"ESRRA","NCOA1",0.0175074107558222,0.071597635815048,0.0445525232854351
"49",2101,8202,"ESRRA","NCOA3",0.0175074107558222,0.15627336446215,0.0868903876089863
"50",2101,190,"ESRRA","NR0B1",0.0175074107558222,0.00471807809701717,0.0111127444264197
"51",2101,8431,"ESRRA","NR0B2",0.0175074107558222,0.0220734073568458,0.019790409056334
"52",2101,8204,"ESRRA","NRIP1",0.0175074107558222,0.0821429393754354,0.0498251750656288
"53",2101,5629,"ESRRA","PROX1",0.0175074107558222,0.00671384279728487,0.0121106267765535
"54",2113,8202,"ETS1","NCOA3",0.0203945315673604,0.15627336446215,0.0883339480147555
"55",2113,9611,"ETS1","NCOR1",0.0203945315673604,0.222146831463954,0.121270681515657
"56",2114,8202,"ETS2","NCOA3",0.0144756855386238,0.15627336446215,0.0853745250003871
"57",2114,9611,"ETS2","NCOR1",0.0144756855386238,0.222146831463954,0.118311258501289
"58",55294,3725,"FBXW7","JUN",0.222975045502381,0.0371936685616136,0.130084357031997
"59",55294,6720,"FBXW7","SREBF1",0.222975045502381,0.154631854646836,0.188803450074609
"60",55294,6721,"FBXW7","SREBF2",0.222975045502381,0.0675630072316093,0.145269026366995
"61",8443,6872,"GNPAT","TAF1",0.224224319099258,0.281511246979106,0.252867783039182
"62",8443,7421,"GNPAT","VDR",0.224224319099258,0.114233469060416,0.169228894079837
"63",8841,9734,"HDAC3","HDAC9",0.0642773428124165,0.0289577897866093,0.0466175662995129
"64",8841,9611,"HDAC3","NCOR1",0.0642773428124165,0.222146831463954,0.143212087138185
"65",8841,6506,"HDAC3","SLC1A2",0.0642773428124165,0.019307010075253,0.0417921764438348
"66",3091,6667,"HIF1A","SP1",0.0789410130670711,0.0480274141891239,0.0634842136280975
"67",3091,7157,"HIF1A","TP53",0.0789410130670711,0.363184886503487,0.221062949785279
"68",51144,6872,"HSD17B12","TAF1",0.244451274158828,0.281511246979106,0.262981260568967
"69",3313,6872,"HSPA9","TAF1",0.455497163319459,0.281511246979106,0.368504205149283
"70",8850,8202,"KAT2B","NCOA3",0.0397796436583615,0.15627336446215,0.098026504060256
"71",400569,6837,"MED11","MED22",0.730798717642402,0.711470562244258,0.72113463994333
"72",9440,219541,"MED17","MED19",0.953269124004379,0.840884369737994,0.897076746871186
"73",9440,6837,"MED17","MED22",0.953269124004379,0.711470562244258,0.832369843124318
"74",9440,90390,"MED17","MED30",0.953269124004379,0.7550341715714,0.854151647787889
"75",9440,6872,"MED17","TAF1",0.953269124004379,0.281511246979106,0.617390185491742
"76",54797,9477,"MED18","MED20",0.771285452699408,0.794149260823659,0.782717356761534
"77",219541,9442,"MED19","MED27",0.840884369737994,0.693382994752354,0.767133682245174
"78",5469,7376,"MED1","NR1H2",0.960066373869498,0.0375383352198255,0.498802354544662
"79",5469,9970,"MED1","NR1I3",0.960066373869498,0.0196477483773967,0.489857061123448
"80",5469,5468,"MED1","PPARG",0.960066373869498,0.0866202603498716,0.523343317109685
"81",5469,6506,"MED1","SLC1A2",0.960066373869498,0.019307010075253,0.489686691972376
"82",9477,55588,"MED20","MED29",0.794149260823659,0.893389699898635,0.843769480361147
"83",9477,6872,"MED20","TAF1",0.794149260823659,0.281511246979106,0.537830253901383
"84",9412,7067,"MED21","THRA",0.762387308672956,0.124512275986799,0.443449792329878
"85",9412,7068,"MED21","THRB",0.762387308672956,0.0598399357142003,0.411113622193578
"86",6837,9442,"MED22","MED27",0.711470562244258,0.693382994752354,0.702426778498306
"87",6837,90390,"MED22","MED30",0.711470562244258,0.7550341715714,0.733252366907829
"88",9439,6872,"MED23","TAF1",0.854997843608457,0.281511246979106,0.568254545293781
"89",9442,90390,"MED27","MED30",0.693382994752354,0.7550341715714,0.724208583161877
"90",90390,29079,"MED30","MED4",0.7550341715714,0.821751421047821,0.78839279630961
"91",10001,5914,"MED6","RARA",0.761068114494468,0.0941138034891558,0.427590958991812
"92",8648,7376,"NCOA1","NR1H2",0.071597635815048,0.0375383352198255,0.0545679855174368
"93",8648,10062,"NCOA1","NR1H3",0.071597635815048,0.0149576732641989,0.0432776545396235
"94",8648,8856,"NCOA1","NR1I2",0.071597635815048,0.0134968817699604,0.0425472587925042
"95",8648,9970,"NCOA1","NR1I3",0.071597635815048,0.0196477483773967,0.0456226920962223
"96",8648,2494,"NCOA1","NR5A2",0.071597635815048,0.0114154936582177,0.0415065647366328
"97",8648,5467,"NCOA1","PPARD",0.071597635815048,0.0138309330906365,0.0427142844528422
"98",8648,5468,"NCOA1","PPARG",0.071597635815048,0.0866202603498716,0.0791089480824598
"99",8648,3275,"NCOA1","PRMT2",0.071597635815048,0.00648127383928165,0.0390394548271648
"100",8648,5914,"NCOA1","RARA",0.071597635815048,0.0941138034891558,0.0828557196521019
"101",8648,6095,"NCOA1","RORA",0.071597635815048,0.0199653424447325,0.0457814891298902
"102",8648,6256,"NCOA1","RXRA",0.071597635815048,0.122599724322863,0.0970986800689553
"103",8648,7067,"NCOA1","THRA",0.071597635815048,0.124512275986799,0.0980549559009233
"104",8648,7068,"NCOA1","THRB",0.071597635815048,0.0598399357142003,0.0657187857646241
"105",8648,7421,"NCOA1","VDR",0.071597635815048,0.114233469060416,0.0929155524377321
"106",10499,2908,"NCOA2","NR3C1",0.058088621169678,0.0590496737075581,0.0585691474386181
"107",10499,5914,"NCOA2","RARA",0.058088621169678,0.0941138034891558,0.0761012123294169
"108",10499,6256,"NCOA2","RXRA",0.058088621169678,0.122599724322863,0.0903441727462703
"109",10499,7068,"NCOA2","THRB",0.058088621169678,0.0598399357142003,0.0589642784419391
"110",10499,7421,"NCOA2","VDR",0.058088621169678,0.114233469060416,0.0861610451150472
"111",8202,7376,"NCOA3","NR1H2",0.15627336446215,0.0375383352198255,0.096905849840988
"112",8202,10062,"NCOA3","NR1H3",0.15627336446215,0.0149576732641989,0.0856155188631747
"113",8202,2494,"NCOA3","NR5A2",0.15627336446215,0.0114154936582177,0.0838444290601841
